recordType,section,metric,value,label,startDate,endDate,tradingDays,totalReturn,cagr,annualizedVolatility,sharpe,maxDrawdown,entryDate,exitDate,regime,quantity,vixStdBand,sigma2SignalTag,sigma2Count60,sigma2Count20,entryUnderlying,exitUnderlying,strike,entryCost,leapsExitValue,shortCallPremiumCollected,shortCallSettlements,shortCallCloseCost,shortCallNetCash,totalExitValue,pnl,pnlPct,ageDays,entryRsi,entryVix,entryVixMean,entryVixStd,vixThreshold,buyReason,sellReason,rawReason
summary,strategy_summary,symbol,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestStart,2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestEnd,2026-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,model,Approximate Black-Scholes LEAPS + monthly short OTM call overlay using Yahoo adjusted close and trailing realized volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,entries,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,contractsEntered,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,closedTrades,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,openPositions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,wins,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,losses,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,winRate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,initialCapital,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,skippedSignalsInsufficientCash,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingEquity,69323.48954762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,totalPnl,49323.48954762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,multipleOnInitialCapital,3.46617448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,cagr,0.28246061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,maxDrawdown,-0.55180443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,availableCash,25085.41559126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingOpenLeapsValue,45939.91310799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingShortCallLiability,1701.83915163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,signal,RSI(14) < 35 with tiered VIX entry filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,option,"~730 days to expiry, target delta 0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma1,"mean+1std <= VIX < mean+2std -> buy 1 contract max once per week, exits <12m +120%, 12-15m +60%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2First,"first RSI<35 and VIX >= mean+2std signal in the last 60 trading days -> buy 1 contract, exits <12m +150%, 12-15m +80%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2Repeat,"second or later RSI<35 and VIX >= mean+2std signal in the last 20 trading days -> buy 2 contracts, or 1 if cash only covers one, exits <12m +150%, 12-15m +80%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2GapAssumption,"if a sigma2 day is not the first sigma2 signal in the last 60 trading days and also not the second-or-later sigma2 signal in the last 20 trading days, no sigma2 entry is taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,shortCallOverlay,"while a LEAPS is open and has >180 days left, sell a 30-calendar-day call 10% OTM, 1 short call per LEAPS contract, roll on expiry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,shortCallIvAssumption,short OTM calls use the same realized-vol proxy as the LEAPS leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,forcedExit,force exit LEAPS at 180 days to expiry and buy back any still-open short call the same day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,capital,start with $20000 and do not add capital later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sizingAssumption,"sigma1 requires enough cash for 1 contract; sigma2 repeat buys 2 if possible, otherwise 1 if cash covers one contract; otherwise the signal is skipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,riskFreeRate,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
