date,strategyNormalized,nasdaqCompositeNormalized,sp500Normalized
2021-08-13,1,1,1
2021-08-16,1,0.99803408,1.00262085
2021-08-17,1,0.98875249,0.99554165
2021-08-18,1,0.97996409,0.9848411
2021-08-19,1,0.9810354,0.98607874
2021-08-20,1,0.99269777,0.99410697
2021-08-23,1,1.00807872,1.00258052
2021-08-24,1,1.01328346,1.00408012
2021-08-25,1,1.01477174,1.0063093
2021-08-26,1,1.00829184,1.00044763
2021-08-27,1,1.02068418,1.0092592
2021-08-30,1,1.02988546,1.01360565
2021-08-31,1,1.02943687,1.01223818
2021-09-01,1,1.03281945,1.01255368
2021-09-02,1,1.03429014,1.015432
2021-09-03,1,1.03647189,1.0150918
2021-09-07,1,1.0372012,1.01164498
2021-09-08,1,1.03128533,1.01031106
2021-09-09,1,1.02869544,1.00565796
2021-09-10,1,1.01973904,0.99789169
2021-09-13,1,1.01907047,1.00016338
2021-09-14,1,1.0144951,0.9944158
2021-09-15,1,1.02284505,1.00284248
2021-09-16,1,1.0242206,1.00128693
2021-09-17,1,1.01491404,0.99216433
2021-09-20,1,0.99264651,0.97532005
2021-09-21,1,0.99483907,0.97452774
2021-09-22,1,1.00498885,0.98380486
2021-09-23,1,1.015472,0.99574306
2021-09-24,1,1.01516571,0.99719785
2021-09-27,1,1.00992177,0.99442924
2021-09-28,1,0.98136527,0.97417858
2021-09-29,1,0.97905538,0.97570724
2021-09-30,1,0.97474716,0.96408685
2021-10-01,1,0.98271592,0.97516563
2021-10-04,1,0.96172005,0.96250223
2021-10-05,1,0.97375208,0.9726321
2021-10-06,1,0.97834498,0.97662261
2021-10-07,1,0.98860676,0.98472689
2021-10-08,1,0.98358214,0.9828424
2021-10-11,1,0.97728513,0.97609444
2021-10-12,1,0.97591696,0.97373543
2021-10-13,1,0.98304915,0.97667856
2021-10-14,1,1.00003571,0.99334373
2021-10-15,1,1.00502192,1.00075428
2021-10-18,1,1.01341905,1.00413159
2021-10-19,1,1.02065651,1.01155548
2021-10-20,1,1.0201566,1.01526185
2021-10-21,1,1.02649952,1.01830344
2021-10-22,1,1.01803289,1.01721126
2021-10-25,1,1.02724228,1.02204118
2021-10-26,1,1.02784945,1.02390108
2021-10-27,1,1.02785821,1.01872878
2021-10-28,1,1.04217931,1.02874215
2021-10-29,1,1.04557065,1.03074751
2021-11-01,1,1.05215036,1.03260294
2021-11-02,1,1.05577176,1.03640329
2021-11-03,1,1.06669948,1.04309978
2021-11-04,1,1.07538398,1.04746196
2021-11-05,1,1.07749424,1.05137193
2021-11-08,1,1.07822086,1.05230533
2021-11-09,1,1.07175651,1.04862355
2021-11-10,1,1.0539577,1.03999775
2021-11-11,1,1.05946069,1.04057073
2021-11-12,1,1.0700308,1.04808641
2021-11-15,1,1.06955111,1.04807516
2021-11-16,1,1.07764742,1.05212621
2021-11-17,1,1.07411977,1.04938897
2021-11-18,1,1.07898654,1.05294092
2021-11-19,1,1.083286,1.05146821
2021-11-22,1,1.06961251,1.04810652
2021-11-23,1,1.06424109,1.04984337
2021-11-24,1,1.06896964,1.05225156
2021-11-26,1,1.04511666,1.02833933
2021-11-29,1,1.06475991,1.04191361
2021-11-30,1,1.04822201,1.02215756
2021-12-01,1,1.02908671,1.01008058
2021-12-02,1,1.03767278,1.02441811
2021-12-03,1,1.01771376,1.01576324
2021-12-06,1,1.02713706,1.02767903
2021-12-07,1,1.05828951,1.04895927
2021-12-08,1,1.06504057,1.0521956
2021-12-09,1,1.04685114,1.0446397
2021-12-10,1,1.05448996,1.05461504
2021-12-13,1,1.0398289,1.0449799
2021-12-14,1,1.02797963,1.0371732
2021-12-15,1,1.05010353,1.05412939
2021-12-16,1,1.02412006,1.0449127
2021-12-17,1,1.02339483,1.03416297
2021-12-20,1,1.01066188,1.02238586
2021-12-21,1,1.03495871,1.04056177
2021-12-22,1,1.04715604,1.05115489
2021-12-23,1,1.05602613,1.05769696
2021-12-27,1,1.07072566,1.07233436
2021-12-28,1,1.064685,1.07125114
2021-12-29,1,1.06363932,1.07275292
2021-12-30,1,1.06197567,1.06954565
2021-12-31,1,1.05545941,1.06673683
2022-01-03,1,1.06813103,1.07353627
2022-01-04,1,1.05395836,1.07286035
2022-01-05,1,1.01870548,1.05205463
2022-01-06,1,1.0174028,1.05104069
2022-01-07,1,1.00762334,1.04678375
2022-01-10,1,1.00809084,1.0452753
2022-01-11,1,1.02229994,1.05485001
2022-01-12,1,1.02465707,1.05782231
2022-01-13,1,0.99891446,1.0427551
2022-01-14,1,1.00477974,1.04361014
2022-01-18,1,0.97868164,1.02442029
2022-01-19,1,0.96743953,1.01449413
2022-01-20,1,0.95487517,1.00329677
2022-01-21,0.9685734,0.92889513,0.98431959
2022-01-24,0.97306582,0.93471112,0.98704787
2022-01-25,0.94813752,0.91340356,0.97503362
2022-01-26,0.94402417,0.91359449,0.97357435
2022-01-27,0.93328566,0.90082102,0.96833253
2022-01-28,0.96811646,0.92900647,0.99190915
2022-01-31,1.00599192,0.96066758,1.0106423
2022-02-01,1.01372785,0.96782678,1.01757834
2022-02-02,1.02394936,0.97265376,1.02716649
2022-02-03,0.97738052,0.93630936,1.00211279
2022-02-04,0.9922533,0.95109657,1.00728061
2022-02-07,0.98213276,0.94554167,1.00355195
2022-02-08,0.99547069,0.95760275,1.011983
2022-02-09,1.02225088,0.97756645,1.02667417
2022-02-10,0.99511588,0.95700836,1.00807522
2022-02-11,0.96060034,0.93039486,0.98895258
2022-02-14,0.96127949,0.93037932,0.98515441
2022-02-15,0.99038468,0.95391316,1.00068707
2022-02-16,0.98981004,0.95285602,1.00156888
2022-02-17,0.95786212,0.92537353,0.98036253
2022-02-18,0.94404305,0.91399591,0.97333709
2022-02-22,0.93301517,0.90275986,0.96346458
2022-02-23,0.90900662,0.87955055,0.94572516
2022-02-24,0.97885013,0.90897122,0.95987023
2022-02-25,1.0147181,0.92388262,0.9813451
2022-02-28,1.01645129,0.9277132,0.97894806
2022-03-01,0.98022114,0.91294278,0.96380031
2022-03-02,1.01541097,0.92775497,0.98176814
2022-03-03,0.98121812,0.91331251,0.97660927
2022-03-04,0.94818793,0.89816703,0.96886081
2022-03-07,0.87139002,0.86561736,0.94026183
2022-03-08,0.84623485,0.86322848,0.9334602
2022-03-09,0.96723507,0.89426154,0.9574485
2022-03-10,0.92715774,0.88578885,0.95333931
2022-03-11,0.86297263,0.86648424,0.94098256
2022-03-14,0.80508616,0.84876909,0.93399952
2022-03-15,0.90456605,0.87355509,0.95399512
2022-03-16,1.03354943,0.90647238,0.97534912
2022-03-17,1.06966511,0.91849637,0.98739255
2022-03-18,1.1458939,0.93732262,0.99890781
2022-03-21,1.13144839,0.93358652,0.99847363
2022-03-22,1.20734474,0.95182589,1.00976049
2022-03-23,1.15056335,0.93926285,0.997368
2022-03-24,1.23798785,0.95742665,1.01167416
2022-03-25,1.23274205,0.95590603,1.01679948
2022-03-28,1.29408188,0.96842723,1.02406446
2022-03-29,1.36616636,0.98628738,1.03661596
2022-03-30,1.31837684,0.97432143,1.03009181
2022-03-31,1.26600029,0.95936147,1.01396825
2022-04-01,1.25535862,0.96212614,1.01742611
2022-04-04,1.33979058,0.98041203,1.02565804
2022-04-05,1.25012978,0.95825847,1.01278427
2022-04-06,1.16626132,0.93698399,1.00294313
2022-04-07,1.17447844,0.93755604,1.00720903
2022-04-08,1.12213154,0.92498766,1.0045389
2022-04-11,1.03698184,0.90481347,0.987585
2022-04-12,1.0208105,0.90208866,0.98420998
2022-04-13,1.09248363,0.92043996,0.99520811
2022-04-14,1.0137287,0.90070632,0.98312217
2022-04-18,1.01317149,0.89944343,0.98292076
2022-04-19,1.09310648,0.91882559,0.99870411
2022-04-20,1.0411473,0.90758691,0.99808644
2022-04-21,0.97125319,0.88880381,0.98336172
2022-04-22,0.88923519,0.86617934,0.95608321
2022-04-25,0.92805528,0.87734851,0.96153091
2022-04-26,0.8199431,0.84266506,0.93446737
2022-04-27,0.81579154,0.84254291,0.93642792
2022-04-28,0.9274553,0.86835437,0.95960161
2022-04-29,0.8031004,0.83213402,0.92478294
2022-05-02,0.84963938,0.84571974,0.93003131
2022-05-03,0.85012819,0.84759119,0.93452999
2022-05-04,0.95727331,0.87465071,0.96243731
2022-05-05,0.81820332,0.83099057,0.9281267
2022-05-06,0.78506578,0.8193174,0.92286031
2022-05-09,0.68720891,0.78414141,0.89329454
2022-05-10,0.71676174,0.79186054,0.89549016
2022-05-11,0.64600186,0.76666779,0.88074752
2022-05-12,0.63968724,0.76712112,0.87960611
2022-05-13,0.73012546,0.79640284,0.90060204
2022-05-16,0.69992111,0.78680891,0.8970479
2022-05-17,0.76690438,0.8085138,0.91514102
2022-05-18,0.65746209,0.77030474,0.87817366
2022-05-19,0.64288737,0.76830443,0.87305059
2022-05-20,0.63525207,0.76601878,0.87317818
2022-05-23,0.67034756,0.77820597,0.88938004
2022-05-24,0.62393236,0.75993563,0.88215756
2022-05-25,0.654965,0.77142394,0.89049462
2022-05-26,0.72250987,0.79206161,0.90820056
2022-05-27,0.80958787,0.8184046,0.93067149
2022-05-31,0.79958432,0.81504897,0.92483212
2022-06-01,0.77957959,0.80918441,0.91791181
2022-06-02,0.85519991,0.83093727,0.93482986
2022-06-03,0.785207,0.810417,0.9195479
2022-06-06,0.79174555,0.81369839,0.9224329
2022-06-07,0.81428133,0.82137977,0.93121759
2022-06-08,0.7945366,0.81537818,0.92116607
2022-06-09,0.72785259,0.79297777,0.89924352
2022-06-10,0.64981844,0.76503378,0.87306627
2022-06-13,0.55970372,0.72922506,0.83921886
2022-06-14,0.5624048,0.7305149,0.83605192
2022-06-15,0.6140373,0.74878398,0.84825201
2022-06-16,0.53945459,0.71821974,0.82067368
2022-06-17,0.56192772,0.72849101,0.82247988
2022-06-21,0.61131652,0.74677017,0.84261192
2022-06-22,0.60716155,0.74567593,0.8415152
2022-06-23,0.6384976,0.75775929,0.8495367
2022-06-24,0.718867,0.78308697,0.87550134
2022-06-27,0.69964719,0.77748278,0.87289841
2022-06-28,0.63390451,0.75434225,0.85531559
2022-06-29,0.6350477,0.75409598,0.85470682
2022-06-30,0.60897965,0.74403389,0.84722021
2022-07-01,0.62206492,0.75072012,0.85616161
2022-07-05,0.65611617,0.76383433,0.85751788
2022-07-06,0.66959081,0.76650651,0.86058193
2022-07-07,0.71960882,0.7840132,0.87346019
2022-07-08,0.72170719,0.78495499,0.87273498
2022-07-11,0.67148728,0.76723174,0.86267456
2022-07-12,0.649594,0.75995454,0.8547001
