date,equity,openLeapsValue,shortCallLiability,availableCash,openContracts,qqqAdjClose,qqqRsi,qqqIv,vixClose,vixMean,vixStd
2021-08-13,20000,0,0,20000,0,357.935913,62.718432,0.257756,15.45,18.093755,7.307586
2021-08-16,20000,0,0,20000,0,358.091187,62.990945,0.257741,16.120001,18.09308,7.306427
2021-08-17,20000,0,0,20000,0,354.937103,54.307147,0.257723,17.91,18.093018,7.305179
2021-08-18,20000,0,0,20000,0,351.520935,46.784296,0.257847,21.57,18.094206,7.304213
2021-08-19,20000,0,0,20000,0,353.219299,50.45856,0.257713,21.67,18.095427,7.303265
2021-08-20,20000,0,0,20000,0,356.878052,57.298612,0.2575,18.559999,18.095586,7.302022
2021-08-23,20000,0,0,20000,0,362.215759,64.910241,0.257935,17.15,18.095263,7.300797
2021-08-24,20000,0,0,20000,0,363.322144,66.253026,0.257873,17.219999,18.094964,7.299569
2021-08-25,20000,0,0,20000,0,363.73938,66.769471,0.257746,16.790001,18.094519,7.298363
2021-08-26,20000,0,0,20000,0,361.429626,61.187117,0.256767,18.84,18.094773,7.297131
2021-08-27,20000,0,0,20000,0,364.942749,65.862181,0.256931,16.389999,18.094192,7.295955
2021-08-30,20000,0,0,20000,0,369.0383,70.346453,0.257173,16.190001,18.093543,7.294796
2021-08-31,20000,0,0,20000,0,368.737396,69.622839,0.257046,16.48,18.092994,7.293614
2021-09-01,20000,0,0,20000,0,369.348816,70.291556,0.256331,16.110001,18.092319,7.292464
2021-09-02,20000,0,0,20000,0,369.174133,69.818664,0.256133,16.41,18.091746,7.291288
2021-09-03,20000,0,0,20000,0,370.309601,71.176104,0.248072,16.41,18.091174,7.290113
2021-09-07,20000,0,0,20000,0,370.833649,71.806356,0.247451,18.139999,18.09119,7.288873
2021-09-08,20000,0,0,20000,0,369.542877,67.86993,0.239939,17.959999,18.091146,7.287634
2021-09-09,20000,0,0,20000,0,368.271576,64.140395,0.237697,18.799999,18.091387,7.286406
2021-09-10,20000,0,0,20000,0,365.476593,56.756157,0.23654,20.950001,18.092358,7.285359
2021-09-13,20000,0,0,20000,0,365.224213,56.127791,0.236342,19.370001,18.092792,7.284159
2021-09-14,20000,0,0,20000,0,364.185822,53.503152,0.235613,19.459999,18.093256,7.282965
2021-09-15,20000,0,0,20000,0,366.893494,58.900143,0.235224,18.18,18.093286,7.281729
2021-09-16,20000,0,0,20000,0,367.145782,59.373322,0.2343,18.690001,18.093488,7.280501
2021-09-17,20000,0,0,20000,0,362.797974,48.920496,0.233942,20.809999,18.09441,7.279438
2021-09-20,20000,0,0,20000,0,355.301331,36.868082,0.234841,25.709999,18.096992,7.279554
2021-09-21,20000,0,0,20000,0,355.738678,37.830372,0.234837,24.360001,18.099115,7.279233
2021-09-22,20000,0,0,20000,0,359.061401,44.723971,0.234129,20.870001,18.100054,7.278178
2021-09-23,20000,0,0,20000,0,362.374451,50.605191,0.231076,18.629999,18.100234,7.276951
2021-09-24,20000,0,0,20000,0,362.714478,51.179314,0.231043,17.75,18.100115,7.275721
2021-09-27,20000,0,0,20000,0,359.819244,46.249964,0.229843,18.76,18.100339,7.274499
2021-09-28,20000,0,0,20000,0,349.637177,33.888194,0.231458,23.25,18.102081,7.273885
2021-09-29,20000,0,0,20000,0,349.063995,33.347841,0.231383,22.559999,18.103589,7.273116
2021-09-30,20000,0,0,20000,0,347.781464,32.11393,0.231349,23.139999,18.105293,7.272476
2021-10-01,20000,0,0,20000,0,349.938354,36.377481,0.230753,21.1,18.106305,7.271454
2021-10-04,20000,0,0,20000,0,342.593414,29.567446,0.229563,22.959999,18.107945,7.270773
2021-10-05,20000,0,0,20000,0,347.218018,37.500885,0.228774,21.299999,18.109024,7.269781
2021-10-06,20000,0,0,20000,0,349.442902,40.947134,0.227716,21,18.11,7.268747
2021-10-07,20000,0,0,20000,0,352.648987,45.602008,0.227101,19.540001,18.110483,7.267567
2021-10-08,20000,0,0,20000,0,350.890442,43.573162,0.227158,18.77,18.110705,7.26635
2021-10-11,20000,0,0,20000,0,348.19928,40.59653,0.226755,20,18.111343,7.265206
2021-10-12,20000,0,0,20000,0,346.984894,39.292123,0.224015,19.85,18.111929,7.264051
2021-10-13,20000,0,0,20000,0,349.763519,43.745975,0.224179,18.639999,18.112107,7.262832
2021-10-14,20000,0,0,20000,0,356.204956,52.454381,0.224875,16.860001,18.111685,7.261644
2021-10-15,20000,0,0,20000,0,358.44928,55.06451,0.224777,16.299999,18.111075,7.260497
2021-10-18,20000,0,0,20000,0,362.053802,58.961178,0.224901,16.309999,18.110468,7.259349
2021-10-19,20000,0,0,20000,0,364.793518,61.681116,0.224044,15.7,18.109657,7.258261
2021-10-20,20000,0,0,20000,0,364.317535,60.925616,0.22406,15.49,18.108775,7.257198
2021-10-21,20000,0,0,20000,0,366.542419,63.194912,0.224127,15.01,18.107732,7.256199
2021-10-22,20000,0,0,20000,0,363.462616,58.159661,0.224418,15.43,18.106831,7.255144
2021-10-25,20000,0,0,20000,0,367.183655,62.089907,0.22468,15.24,18.105868,7.254115
2021-10-26,20000,0,0,20000,0,368.339813,63.245159,0.223837,15.98,18.105153,7.253
2021-10-27,20000,0,0,20000,0,369.194763,64.115985,0.223701,16.98,18.104775,7.25181
2021-10-28,20000,0,0,20000,0,373.294769,68.028115,0.218499,16.530001,18.104246,7.250649
2021-10-29,20000,0,0,20000,0,375.131012,69.625297,0.217696,16.26,18.103627,7.24951
2021-11-01,20000,0,0,20000,0,376.413513,70.725294,0.215258,16.41,18.103058,7.248359
2021-11-02,20000,0,0,20000,0,377.987427,72.06243,0.215281,16.030001,18.102362,7.247242
2021-11-03,20000,0,0,20000,0,382.000031,75.17553,0.214731,15.1,18.101355,7.246234
2021-11-04,20000,0,0,20000,0,386.896729,78.346514,0.209071,15.44,18.100463,7.245183
2021-11-05,20000,0,0,20000,0,387.2659,78.568779,0.206991,16.48,18.09992,7.244029
2021-11-08,20000,0,0,20000,0,386.741272,77.353625,0.207014,17.219999,18.099625,7.242832
2021-11-09,20000,0,0,20000,0,384.079285,71.325716,0.205568,17.780001,18.099518,7.241621
2021-11-10,20000,0,0,20000,0,378.434387,60.550236,0.20516,18.73,18.099729,7.240417
2021-11-11,20000,0,0,20000,0,379.483643,61.708229,0.203626,17.66,18.099582,7.239209
2021-11-12,20000,0,0,20000,0,383.476837,65.82024,0.203803,16.290001,18.098976,7.238073
2021-11-15,20000,0,0,20000,0,383.389404,65.653995,0.203612,16.49,18.098438,7.236921
