type,date,qty,strike,premiumPerContract
stage2_sell_put,2021-08-18,2.689075630252101,119,151.182298151587
stage2_put_expired,2021-09-20,2.689075630252101,119,
stage2_sell_put,2021-09-20,2.6346781002995887,123,163.55832396953716
stage2_put_expired,2021-10-25,2.6346781002995887,123,
stage2_sell_put,2021-12-01,2.2963261655922507,143,422.5337347613376
stage2_put_expired,2022-01-03,2.2963261655922507,143,
stage2_sell_put,2022-01-05,2.467718207222413,137,549.9165835370363
stage2_stop_loss,2022-02-07,,,
stage2_sell_put,2023-02-21,7.387780122334349,21,149.18854082607967
stage2_put_expired,2023-03-27,7.387780122334349,21,
stage2_sell_put,2023-04-25,7.224569736216135,23,103.3539584394374
stage2_put_expired,2023-05-30,7.224569736216135,23,
stage2_sell_put,2023-08-04,4.569262703567581,38,125.56354959304113
stage2_put_expired,2023-09-06,4.569262703567581,38,
stage2_sell_put,2023-09-15,4.847819220983744,37,128.6476508822817
stage2_sell_call,2023-10-18,4.847819220983744,37,224.65944909480663
stage2_called_away,2023-11-20,,37,
stage2_sell_put,2024-01-03,4.56969769019042,43,130.99743914762348
stage2_put_expired,2024-02-05,4.56969769019042,43,
stage2_sell_put,2024-03-15,3.820437502436332,53,152.91759576067358
stage2_put_expired,2024-04-17,3.820437502436332,53,
stage2_sell_put,2024-04-17,4.251536914395722,49,141.43151819812445
stage2_put_expired,2024-05-20,4.251536914395722,49,
stage2_sell_put,2024-07-17,3.1520341472084406,68,187.7655687596743
stage2_put_expired,2024-08-19,3.1520341472084406,68,
stage2_sell_put,2024-09-03,3.864153629020685,57,296.8301265645877
stage2_put_expired,2024-10-07,3.864153629020685,57,
stage2_sell_put,2024-10-31,3.620730140028926,64,284.84164116307403
stage2_put_expired,2024-12-03,3.620730140028926,64,
stage2_sell_put,2024-12-18,3.1847378436157334,76,265.0708727816749
stage2_put_expired,2025-01-21,3.1847378436157334,76,
stage2_sell_put,2025-01-27,3.43125874674899,73,317.5673299829537
stage2_sell_call,2025-03-03,3.4312587467489895,73,434.2147526889846
stage2_roll_call,2025-04-07,3.4312587467489895,73,10.998640903525668
stage2_roll_call,2025-05-12,3.4312587467489895,73,726.4200312955019
stage2_called_away,2025-06-16,,73,
stage2_sell_put,2025-08-01,3.968160785142609,76,177.36426135946778
stage2_put_expired,2025-09-03,3.968160785142609,76,
stage2_sell_put,2025-10-10,3.4676215588422754,89,179.6356298499827
stage2_put_expired,2025-11-12,3.4676215588422754,89,
stage2_sell_put,2025-11-13,3.2796604433854437,96,287.0990200909638
stage2_sell_call,2025-12-16,3.2796604433854437,96,0.07909056272211896
stage2_roll_call,2026-01-20,3.2796604433854437,96,0.01637222503663282
stage2_roll_call,2026-02-23,3.2796604433854437,96,0.0017639384732374172
stage2_roll_call,2026-03-30,3.2796604433854437,96,0.0000019473400385712917
stage2_roll_call,2026-05-04,3.2796604433854437,96,12.310762855754565
stage2_roll_call,2026-06-08,3.2796604433854437,96,126.15273918672099
stage2_roll_call,2026-07-13,3.2796604433854437,96,118.71606463636564
