eventDate,eventType,positionEntryDate,regime,quantity,underlying,shortCallStrike,shortCallExpiry,cashFlow
2022-01-20,sell_short_call,2022-01-20,sigma1_weekly_1lot,1,351.8835,387,2022-02-19,76.0664
2022-01-24,sell_short_call,2022-01-24,sigma1_weekly_1lot,1,343.6925,378,2022-02-23,77.772
2022-02-22,short_call_settlement,2022-01-20,sigma1_weekly_1lot,1,328.8863,387,2022-02-19,0
2022-02-22,sell_short_call,2022-01-20,sigma1_weekly_1lot,1,328.8863,362,2022-03-24,96.8917
2022-02-23,short_call_settlement,2022-01-24,sigma1_weekly_1lot,1,320.4619,378,2022-02-23,0
2022-02-23,sell_short_call,2022-01-24,sigma1_weekly_1lot,1,320.4619,353,2022-03-25,94.9903
2022-02-23,sell_short_call,2022-02-23,sigma1_weekly_1lot,1,320.4619,353,2022-03-25,94.9903
2022-03-24,short_call_settlement,2022-01-20,sigma1_weekly_1lot,1,350.3023,362,2022-03-24,0
2022-03-24,sell_short_call,2022-01-20,sigma1_weekly_1lot,1,350.3023,385,2022-04-23,117.6949
2022-03-25,short_call_settlement,2022-01-24,sigma1_weekly_1lot,1,350.0101,353,2022-03-25,0
2022-03-25,short_call_settlement,2022-02-23,sigma1_weekly_1lot,1,350.0101,353,2022-03-25,0
2022-03-25,sell_short_call,2022-01-24,sigma1_weekly_1lot,1,350.0101,385,2022-04-24,113.6688
2022-03-25,sell_short_call,2022-02-23,sigma1_weekly_1lot,1,350.0101,385,2022-04-24,113.6688
2022-04-25,short_call_settlement,2022-01-20,sigma1_weekly_1lot,1,321.0138,385,2022-04-23,0
2022-04-25,short_call_settlement,2022-01-24,sigma1_weekly_1lot,1,321.0138,385,2022-04-24,0
2022-04-25,short_call_settlement,2022-02-23,sigma1_weekly_1lot,1,321.0138,385,2022-04-24,0
2022-04-25,sell_short_call,2022-01-20,sigma1_weekly_1lot,1,321.0138,353,2022-05-25,123.9409
2022-04-25,sell_short_call,2022-01-24,sigma1_weekly_1lot,1,321.0138,353,2022-05-25,123.9409
2022-04-25,sell_short_call,2022-02-23,sigma1_weekly_1lot,1,321.0138,353,2022-05-25,123.9409
2022-05-25,short_call_settlement,2022-01-20,sigma1_weekly_1lot,1,283.6898,353,2022-05-25,0
2022-05-25,short_call_settlement,2022-01-24,sigma1_weekly_1lot,1,283.6898,353,2022-05-25,0
2022-05-25,short_call_settlement,2022-02-23,sigma1_weekly_1lot,1,283.6898,353,2022-05-25,0
2022-05-25,sell_short_call,2022-01-20,sigma1_weekly_1lot,1,283.6898,312,2022-06-24,171.5672
2022-05-25,sell_short_call,2022-01-24,sigma1_weekly_1lot,1,283.6898,312,2022-06-24,171.5672
2022-05-25,sell_short_call,2022-02-23,sigma1_weekly_1lot,1,283.6898,312,2022-06-24,171.5672
2022-06-24,short_call_settlement,2022-01-20,sigma1_weekly_1lot,1,287.5043,312,2022-06-24,0
2022-06-24,short_call_settlement,2022-01-24,sigma1_weekly_1lot,1,287.5043,312,2022-06-24,0
