date,equity,coreValue,cashValue,wheelValue,leapsValue
2021-08-13,100000,50000,10000,32000,8000.000000000001
2021-08-16,100022.09028773988,50021.69129371129,10000,32000,8000.398994028595
2021-08-17,99348.86253496431,49581.096974604436,10000,32000,7767.765560359869
2021-08-18,98624.2202874773,49103.89678733861,10000,32000,7520.323500138707
2021-08-19,99097.9851425617,49341.1398822423,10000,32120.084693836976,7636.760566482417
2021-08-20,100001.96607716642,49852.23194020865,10000,32254.84376620046,7894.890370757302
2021-08-23,101240.3586600523,50597.85309562025,10000,32362.538463663124,8279.967100768914
2021-08-24,101485.8458576514,50752.39787467521,10000,32376.058629954565,8357.389353021616
2021-08-25,101574.19464425404,50810.69089935422,10000,32380.2640173352,8383.239727564624
2021-08-26,101054.6145434824,50488.04376552585,10000,32368.846830675993,8197.723947280547
2021-08-27,101827.33151933439,50978.79739131888,10000,32392.437128832127,8456.096999183372
2021-08-30,102709.32992767406,51550.89233423144,10000,32404.0262556775,8754.411337765121
2021-08-31,102640.03094886053,51508.866745538086,10000,32404.34788753758,8726.816315784856
2021-09-01,102760.77571230815,51594.270784462766,10000,32405.21529932697,8761.289628518422
2021-09-02,102716.62257785996,51569.86963048428,10000,32405.50253844822,8741.250408927453
2021-09-03,102856.592807746,51728.485405726904,10000,32406.05860063941,8722.048801379684
2021-09-07,102948.07056246181,51801.68886766234,10000,32406.48613580522,8739.89555899425
2021-09-08,102568.07783768125,51621.385935899685,10000,32406.48596423235,8540.205937549215
2021-09-09,102258.76211924634,51443.79286440422,10000,32406.485649342143,8408.483605499976
2021-09-10,101631.57232952655,51053.35785198354,10000,32406.41705965398,8171.797417889024
2021-09-13,101563.07640576169,51018.1089825538,10000,32406.533566671136,8138.433856536749
2021-09-14,101324.3300379924,50873.054920220886,10000,32406.537148285697,8044.737969485825
2021-09-15,101904.90487319788,51251.285218461075,10000,32406.540607256233,8247.07904748058
2021-09-16,101944.67555256827,51286.534087890825,10000,32406.540633206478,8251.60083147096
2021-09-17,100990.5163489571,50679.19027554852,10000,32406.54063204056,7904.785441368015
2021-09-20,99288.72053204653,49577.03011560802,10000,32406.54063368494,7305.14978275357
2021-09-21,99409.98437484997,49638.03300055422,10000,32437.746875299064,7334.204498996681
2021-09-22,100276.74344165092,50101.675612101586,10000,32602.23803681239,7572.829792736946
2021-09-23,101053.6455367819,50563.96122491973,10000,32705.38954308329,7784.29476877888
2021-09-24,101139.54219729589,50611.40653414747,10000,32721.703048215368,7806.432614933042
2021-09-27,100445.87343268788,50207.41808319958,10000,32681.381346268092,7557.074003220203
2021-09-28,97521.14618661898,48786.66937404462,10000,31926.123397299365,6808.353415274992
2021-09-29,97337.58402034832,48706.68505565433,10000,31869.517434687776,6761.381530006212
2021-09-30,96933.94387631955,48527.73498542964,10000,31743.19020841717,6663.018682472743
2021-10-01,97655.39397200476,48828.69496273797,10000,32016.803018425624,6809.895990841162
2021-10-04,95145.26339069632,47803.805123729326,10000,31054.7644114357,6286.693855531295
2021-10-05,96741.16575025504,48449.10766576857,10000,31703.46572110364,6588.592363382826
2021-10-06,97486.91907288453,48759.558359798946,10000,32000.498834797138,6726.861878288448
2021-10-07,98459.03409017052,49206.92939816941,10000,32312.3875202059,6939.717171795204
2021-10-08,97966.84346918517,48961.55258527289,10000,32190.535779042933,6814.755104869339
2021-10-11,97225.99621539778,48586.0321472999,10000,32025.033244402654,6614.930823695228
2021-10-12,96835.00997318061,48416.57279379726,10000,31920.011166360186,6498.426013023165
2021-10-13,97761.2335452699,48804.293808759496,10000,32268.065064594088,6688.87467191632
2021-10-14,99535.05293510221,49703.10688168808,10000,32687.444104415412,7144.501948998715
2021-10-15,100086.42251526492,50016.267435985654,10000,32770.33797916102,7299.817100118241
2021-10-18,100902.59819904254,50519.22163876794,10000,32833.28073073956,7550.09582953503
2021-10-19,101475.53549267455,50901.52293319578,10000,32837.16921836663,7736.843341112143
2021-10-20,101371.87333821079,50835.096190523946,10000,32837.41730377638,7699.3598439104535
2021-10-21,101841.87370983479,51145.54274736308,10000,32837.464118408025,7858.86684406368
2021-10-22,101188.00478632416,50715.79614370749,10000,32837.46416780741,7634.74447480926
2021-10-25,101971.19378518463,51235.01778247542,10000,32837.464167969185,7898.7118347400265
2021-10-26,102206.19247991756,51396.343417985234,10000,32837.464167969185,7972.384893963149
2021-10-27,102383.979339704,51515.64346480169,10000,32837.464167969185,8030.871706933136
2021-10-28,103209.75268595933,52087.73840771424,10000,32837.464167969185,8284.550110275908
2021-10-29,103593.43478810394,52343.95879887078,10000,32837.464167969185,8412.011821263972
2021-11-01,103839.20847697467,52522.90886909547,10000,32837.464167969185,8478.835439910017
2021-11-02,104188.07358321428,52742.527529284285,10000,32837.464167969185,8608.08188596081
2021-11-03,105078.309703813,53302.4218952076,10000,32837.464167969185,8938.423640636212
2021-11-04,106105.35500428466,53985.68316694378,10000,32837.464167969185,9282.20766937169
2021-11-05,106157.94540153371,54037.19947235918,10000,32837.464167969185,9283.281761205344
2021-11-08,106027.2678726456,53963.99187323249,10000,32837.464167969185,9225.81183144393
2021-11-09,105400.09133108599,53592.53829425591,10000,32837.464167969185,8970.088868860896
2021-11-10,104115.18332199955,52804.891550150955,10000,32837.464167969185,8472.827603879403
2021-11-11,104326.82407386735,52951.30261121308,10000,32837.464167969185,8538.05729468508
2021-11-12,105228.48875319319,53508.487116869204,10000,32837.464167969185,8882.537468354798
2021-11-15,105194.4477931252,53496.28240268871,10000,32837.464167969185,8860.701222467316
2021-11-16,105810.1373146387,53877.230835578586,10000,32837.464167969185,9095.442311090941
2021-11-17,105851.80505593926,53905.69884855348,10000,32837.464167969185,9108.642039416589
2021-11-18,106760.9543457145,54464.23621574757,10000,32837.464167969185,9459.25396199775
2021-11-19,107253.95626794318,54767.9060533231,10000,32837.464167969185,9648.586046650908
2021-11-22,106205.68159469747,54132.09422800591,10000,32837.464167969185,9236.123198722365
2021-11-23,105800.64997119477,53885.36455357142,10000,32837.464167969185,9077.821249654164
2021-11-24,106072.70461317641,54058.890766070464,10000,32837.464167969185,9176.349679136763
2021-11-26,104416.82577109296,53034.00092706182,10000,32837.464167969185,8545.360676061957
2021-11-29,106292.058367336,54184.96753215053,10000,32837.464167969185,9269.626667216282
2021-11-30,105004.49630517434,53389.18707005274,10000,32837.464167969185,8777.845067152408
2021-12-01,103542.65508010174,52480.88328040211,10000,32837.464167969185,8224.30763173045
2021-12-02,104334.72387476108,52859.11771583355,10000,33023.69854683509,8451.907612092447
2021-12-03,102345.2950940274,51939.97034792289,10000,32494.2769863962,7911.047759708306
2021-12-06,103334.62381061583,52356.163513051266,10000,32828.27004969661,8150.190247867953
2021-12-07,106479.69191428946,53932.80986279916,10000,33396.38311525644,9150.498936233871
2021-12-08,106953.52389321267,54174.11981669926,10000,33481.9901643595,9297.413912153901
2021-12-09,105419.02472189888,53376.9864930635,10000,33258.565730401475,8783.472498433906
2021-12-10,106545.581937565,53957.215153968886,10000,33445.31071071983,9143.056072876296
2021-12-13,105097.7022955242,53177.702127856755,10000,33259.71812305438,8660.282044613063
2021-12-14,104008.78927476257,52627.29847865549,10000,33055.65946408085,8325.831332026237
2021-12-15,106374.47410092485,53827.06739170116,10000,33473.09737250849,9074.30933671521
2021-12-16,103599.77805013787,52442.92455070517,10000,32897.45597868977,8259.397520742936
2021-12-17,103105.12529546198,52181.280301823,10000,32824.77202495763,8099.072968681364
2021-12-20,101961.27216241589,51609.18535891044,10000,32597.292777074163,7754.794026431279
2021-12-21,104509.9029199571,52764.21882299557,10000,33286.61646881888,8459.067628142642
2021-12-22,105792.76808874146,53406.81150476762,10000,33534.70758377629,8851.249000197546
2021-12-23,106557.79498611303,53809.447094177536,10000,33653.301566842245,9095.046325093253
2021-12-27,108135.0474613462,54698.769450384076,10000,33793.20332009512,9643.074690867017
2021-12-28,107722.64470138472,54445.254782303484,10000,33799.607102571266,9477.78281650996
2021-12-29,107709.55712731298,54437.12106431065,10000,33803.78392505707,9468.652137945248
2021-12-30,107443.61633077744,54274.44256726287,10000,33805.59358535984,9363.580178154727
2021-12-31,106892.86506281931,53935.5238602576,10000,33806.25879424016,9151.082408321561
2022-01-03,107717.58711557003,54454.74549902553,10000,33807.73943894706,9455.102177597444
2022-01-04,106564.07864925737,53748.44007204009,10000,33807.73943894706,9007.899138270219
2022-01-05,103931.79502903028,52097.229124436286,10000,33807.73943894706,8026.8264656469355
2022-01-06,103852.83179633025,52060.62325627732,10000,33821.852232634476,7970.356307418464
2022-01-07,102584.97995345277,51496.6620313576,10000,33461.072558595035,7627.245363500143
2022-01-10,102781.29071554996,51530.55390205812,10000,33630.24817499221,7620.488638499643
2022-01-11,104509.6287357191,52304.64720763587,10000,34112.038192445434,8092.943335637793
2022-01-12,104980.31376958097,52512.065290835446,10000,34254.643076742206,8213.60540200332
2022-01-13,87552.96823869931,51198.4160515077,10000,18897.79445967357,7456.7577275180365
2022-01-14,88313.96346109125,51517.00046353091,10000,19159.0682443257,7637.894753234629
2022-01-18,85005.18757033577,50234.52909744525,10000,17869.742136639168,6900.916336251345
2022-01-19,83540.80597830561,49682.772586706014,10000,17294.460129329455,6563.573262270125
2022-01-20,81924.63428370164,49037.47004466677,10000,16677.225437554458,6209.93880148042
2022-01-21,78596.78909429847,47677.72835764926,10000,15388.770730238957,5530.29000641025
2022-01-24,79106.25107669306,47895.99001910886,10000,15582.804639662234,5627.456417921975
2022-01-25,76410.56261334498,46785.69200398428,10000,14533.717966557811,5091.1526428028865
2022-01-26,76221.58524243816,46712.48854204884,10000,14506.267194125721,5002.829506263595
2022-01-27,75126.19320148656,46242.069211237875,10000,14111.125766768426,4772.998223480255
2022-01-28,78509.18073802817,47692.638794905695,10000,15295.32319934824,5521.21874377422
2022-01-31,82193.27996939121,49217.77297642943,10000,16634.373420650616,6341.133572311163
2022-02-01,82984.72264263518,49552.624824438295,10000,16922.78796876363,6509.3098494332635
2022-02-02,83942.22507256966,49955.260413848206,10000,17287.702833586958,6699.261825134494
2022-02-03,79109.14846366676,47929.88188980939,10000,15369.978128747924,5809.2884451094405
2022-02-04,80472.20282536568,48534.515841884495,10000,15850.874653204071,6086.8123302771155
2022-02-07,79558.36982780157,48144.08082946382,10000,15514.338256902132,5899.950741435612
2022-02-08,80348.08296148562,48684.99376194304,10000,15514.338256902132,6148.750942640439
2022-02-09,81872.82089500407,49716.66445740654,10000,15514.338256902132,6641.818180695393
2022-02-10,80237.26736958043,48591.45186783429,10000,15514.338256902132,6131.477244844008
2022-02-11,78036.17058997252,47050.05025032489,10000,15514.338256902132,5471.782082745493
2022-02-14,78110.27894694274,47108.34327500391,10000,15514.338256902132,5487.597415036689
2022-02-15,79821.37990189699,48279.64831226593,10000,15514.338256902132,6027.393332728927
2022-02-16,79799.71973923972,48267.44773527669,10000,15514.338256902132,6017.933747060909
2022-02-17,77754.20439377133,46831.788588865296,10000,15514.338256902132,5408.077548003905
2022-02-18,76966.73387823076,46297.65237564968,10000,15514.338256902132,5154.743245678961
2022-02-22,76295.0488626834,45832.6527653731,10000,15514.338256902132,4948.057840408162
2022-02-23,74656.06475685212,44658.64200503513,10000,15514.338256902132,4483.084494914863
2022-02-24,76768.49160580566,46159.37089538913,10000,15514.338256902132,5094.78245351439
2022-02-25,77796.33374022273,46875.167039096625,10000,15514.338256902132,5406.828444223989
2022-02-28,77957.62737217905,47014.80138089515,10000,15514.338256902132,5428.48773438176
2022-03-01,76922.34628243983,46294.93837819125,10000,15514.338256902132,5113.069647346443
2022-03-02,77979.61906510087,47071.74154403618,10000,15514.338256902132,5393.539264162558
2022-03-03,77045.16001076854,46399.32798775127,10000,15514.338256902132,5131.4937661151325
2022-03-04,76116.74877784963,45726.910294275105,10000,15514.338256902132,4875.500226672382
2022-03-07,73821.33209283931,44040.45047724156,10000,15514.338256902132,4266.543358695622
2022-03-08,73503.68234024862,43835.74639150043,10000,15514.338256902132,4153.59769184607
2022-03-09,75684.06794194016,45413.74973997753,10000,15514.338256902132,4755.979945060499
2022-03-10,74982.00011288247,44909.438538466035,10000,15514.338256902132,4558.2233175143065
2022-03-11,73721.3870382799,43978.09059356614,10000,15514.338256902132,4228.958187811622
2022-03-14,72580.00748900732,43133.5078235114,10000,15514.338256902132,3932.161408593793
2022-03-15,74432.65089734855,44486.46865407405,10000,15514.338256902132,4431.8439863723615
2022-03-16,76719.88898344718,46136.32674013988,10000,15514.338256902132,5069.223986405164
2022-03-17,77467.97534707686,46694.86410733397,10000,15514.338256902132,5258.772982840761
2022-03-18,78798.98051331022,47650.61320621234,10000,15514.338256902132,5634.0290501957525
2022-03-21,78520.40177646338,47459.46255899842,10000,15514.338256902132,5546.600960562825
2022-03-22,79824.06565657619,48392.16750262753,10000,15514.338256902132,5917.559897046523
2022-03-23,78851.038946265,47696.70565390211,10000,15514.338256902132,5639.995035460774
2022-03-24,80336.78495911715,48756.844362340504,10000,15514.338256902132,6065.602339874517
2022-03-25,80273.26957293328,48716.17577237637,10000,15514.338256902132,6042.7555436547655
2022-03-28,81326.76067262636,49469.930645780805,10000,15514.338256902132,6342.491769943435
2022-03-29,82526.61598627616,50321.294272290404,10000,15514.338256902132,6690.983457083626
2022-03-30,81740.49758685865,49765.466765363504,10000,15514.338256902132,6460.692564593021
2022-03-31,80870.38157889653,49148.6363734904,10000,15514.338256902132,6207.406948503989
2022-04-01,80729.34434064198,49055.094479381645,10000,15514.338256902132,6159.91160435821
2022-04-04,82173.7045990865,50065.069743942615,10000,15514.338256902132,6594.296598241748
2022-04-05,80598.77184375023,48953.41886728007,10000,15514.338256902132,6131.014719568031
2022-04-06,79101.76071578985,47890.57029857447,10000,15514.338256902132,5696.852160313238
2022-04-07,79258.80947812855,48004.4464876653,10000,15514.338256902132,5740.024733561116
2022-04-08,78316.61538021323,47333.38579291836,10000,15514.338256902132,5468.891330392736
2022-04-11,76754.93077274464,46213.60119826298,10000,15514.338256902132,5026.991317579533
2022-04-12,76476.77562488784,46018.38369205264,10000,15514.338256902132,4944.053675933065
2022-04-13,77784.13702882249,46953.79849594895,10000,15514.338256902132,5316.000275971413
2022-04-14,76299.86425185973,45880.10221179209,10000,15514.338256902132,4905.423783165522
2022-04-18,76334.88058604221,45915.35108122184,10000,15514.338256902132,4905.191247918253
2022-04-19,77774.98995686769,46941.597918959706,10000,15514.338256902132,5319.053781005862
2022-04-20,76820.7408943257,46256.97964849431,10000,15514.338256902132,5049.422988929258
2022-04-21,75499.50152485748,45299.87355088671,10000,15514.338256902132,4685.2897170686365
2022-04-22,73883.76241017989,44113.65807636825,10000,15514.338256902132,4255.766076909511
2022-04-25,74654.48446574935,44680.32916155517,10000,15514.338256902132,4459.817047292043
2022-04-26,72397.9041870124,42993.87348171287,10000,15514.338256902132,3889.692448397403
2022-04-27,72325.23035006222,42942.35717629747,10000,15514.338256902132,3868.534916862625
2022-04-28,74430.62144384283,44467.49135782121,10000,15514.338256902132,4448.791829119499
2022-04-29,71773.3163088028,42466.51398776087,10000,15514.338256902132,3792.4640641398028
2022-05-02,72726.9262696614,43175.53341220475,10000,15514.338256902132,4037.0546005545166
2022-05-03,72779.81915496064,43221.62585989451,10000,15514.338256902132,4043.855038163989
2022-05-04,74691.84854185826,44683.04315901361,10000,15514.338256902132,4494.467125942519
2022-05-05,71815.16822865327,42432.62211706034,10000,15514.338256902132,3868.207854690801
2022-05-06,71161.22723903894,41924.24405655243,10000,15514.338256902132,3722.644925584373
2022-05-09,69076.33895493826,40283.87668720865,10000,15514.338256902132,3278.124010827486
2022-05-10,69699.38989000954,40773.27745146371,10000,15514.338256902132,3411.774181643686
2022-05-11,68166.59628015512,39564.013684504745,10000,15514.338256902132,3088.244338748239
2022-05-12,68045.59458566393,39470.47179039599,10000,15514.338256902132,3060.7845383658014
2022-05-13,69913.58220689151,40933.246088244305,10000,15514.338256902132,3465.9978617450884
2022-05-16,69305.52528655596,40458.75989843692,10000,15514.338256902132,3332.4271312169217
2022-05-17,70649.4582488025,41506.69802988608,10000,15514.338256902132,3628.421962014291
2022-05-18,68097.30138732068,39469.11892885802,10000,15514.338256902132,3113.8442015605324
2022-05-19,67823.0623200657,39257.62984947078,10000,15514.338256902132,3051.094213692789
2022-05-20,67667.17881537939,39135.61994238713,10000,15514.338256902132,3017.220616090127
2022-05-23,68482.6165390962,39786.34634215201,10000,15514.338256902132,3181.931940042059
2022-05-24,67420.67226461989,38940.402436176795,10000,15514.338256902132,2965.9315715409543
2022-05-25,68108.3113918012,39485.386364843675,10000,15514.338256902132,3108.586770055379
2022-05-26,69503.61414343947,40579.41280679135,10000,15514.338256902132,3409.8630797459855
2022-05-27,71206.77857585892,41903.90976157036,10000,15514.338256902132,3788.530557386434
2022-05-31,71056.69945894212,41792.743432746734,10000,15514.338256902132,3749.617769293252
2022-06-01,70660.26887917,41483.64973744557,10000,15514.338256902132,3662.280884822304
2022-06-02,72098.0959770148,42619.70590527785,10000,15514.338256902132,3964.0518148348256
2022-06-03,70703.25687713205,41510.76488888249,10000,15514.338256902132,3678.1537313474237
2022-06-06,70872.4617466721,41649.0422319518,10000,15514.338256902132,3709.081257818169
2022-06-07,71324.13514381027,42008.295233939134,10000,15514.338256902132,3801.501652969
2022-06-08,70942.40449329752,41705.98239509283,10000,15514.338256902132,3722.083841302569
2022-06-09,69545.68166866558,40588.9035235134,10000,15514.338256902132,3442.43988825006
2022-06-10,67773.4063022791,39157.311236098416,10000,15514.338256902132,3101.75680927855
2022-06-13,65543.61595217432,37336.640934991985,10000,15514.338256902132,2692.6367602801993
2022-06-14,65625.0348335569,37404.42467639304,10000,15514.338256902132,2706.27190026172
2022-06-15,66783.0500948349,38338.482481560124,10000,15514.338256902132,2930.2293563726553
2022-06-16,64895.062322527025,36791.66114351635,10000,15514.338256902132,2589.0629221085405
2022-06-17,65443.67901146926,37239.03218188682,10000,15514.338256902132,2690.3085726803133
2022-06-21,66510.21369126486,38105.30624565285,10000,15514.338256902132,2890.5691887098724
2022-06-22,66438.74964797747,38049.72721843228,10000,15514.338256902132,2874.684172643055
2022-06-23,67140.33670073152,38616.3983036192,10000,15514.338256902132,3009.6001402101915
2022-06-24,68795.26954652826,39939.534122477744,10000,15514.338256902132,3341.397167148377
2022-06-27,68426.12109378663,39646.71200035348,10000,15514.338256902132,3265.070836531011
