strategy,scenario,date,event,contract_id,fill,cash_flow
deployed,mid,2021-03-04,sell_short_call,QQQ210401C00335000,0.6799999999999999,68.0
deployed,mid,2021-04-01,short_expiry_settlement,QQQ210401C00335000,,-0.0
deployed,mid,2021-04-01,sell_short_call,QQQ210430C00360000,0.20500000000000002,20.5
deployed,mid,2021-04-30,short_expiry_settlement,QQQ210430C00360000,,-0.0
deployed,mid,2021-04-30,sell_short_call,QQQ210528C00372000,0.16999999999999998,17.0
deployed,mid,2021-05-12,sell_short_call,QQQ210611C00349000,0.5800000000000001,58.00000000000001
deployed,mid,2021-05-28,short_expiry_settlement,QQQ210528C00372000,,-0.0
deployed,mid,2021-05-28,sell_short_call,QQQ210628C00370000,0.12,12.0
deployed,mid,2021-06-11,short_expiry_settlement,QQQ210611C00349000,,-0.0
deployed,mid,2021-06-11,sell_short_call,QQQ210712C00380000,0.07500000000000001,7.500000000000001
deployed,mid,2021-06-28,short_expiry_settlement,QQQ210628C00370000,,-0.0
deployed,mid,2021-06-28,sell_short_call,QQQ210728C00390000,0.105,10.5
deployed,mid,2021-07-12,short_expiry_settlement,QQQ210712C00380000,,-0.0
deployed,mid,2021-07-12,sell_short_call,QQQ210811C00400000,0.16,16.0
deployed,mid,2021-07-28,short_expiry_settlement,QQQ210728C00390000,,-0.0
deployed,mid,2021-07-28,sell_short_call,QQQ210827C00404000,0.085,8.5
deployed,mid,2021-08-11,short_expiry_settlement,QQQ210811C00400000,,-0.0
deployed,mid,2021-08-11,sell_short_call,QQQ210910C00404000,0.05,5.0
deployed,mid,2021-08-27,short_expiry_settlement,QQQ210827C00404000,,-0.0
deployed,mid,2021-08-27,sell_short_call,QQQ210927C00415000,0.065,6.5
deployed,mid,2021-09-10,short_expiry_settlement,QQQ210910C00404000,,-0.0
deployed,mid,2021-09-10,sell_short_call,QQQ211011C00415000,0.07500000000000001,7.500000000000001
deployed,mid,2021-09-27,short_expiry_settlement,QQQ210927C00415000,,-0.0
deployed,mid,2021-09-27,sell_short_call,QQQ211027C00408000,0.07500000000000001,7.500000000000001
deployed,mid,2021-10-11,short_expiry_settlement,QQQ211011C00415000,,-0.0
deployed,mid,2021-10-11,sell_short_call,QQQ211110C00395000,0.08,8.0
deployed,mid,2021-10-27,short_expiry_settlement,QQQ211027C00408000,,-0.0
deployed,mid,2021-10-27,sell_short_call,QQQ211126C00420000,0.085,8.5
deployed,mid,2021-11-10,short_expiry_settlement,QQQ211110C00395000,,-0.0
deployed,mid,2021-11-10,sell_short_call,QQQ211210C00429000,0.235,23.5
deployed,mid,2021-11-18,buy_to_close_short,QQQ211126C00420000,0.04,-4.0
deployed,mid,2021-11-19,buy_to_close_short,QQQ211210C00429000,0.265,-26.5
deployed,mid,2022-01-21,sell_short_call,QQQ220222C00387000,1.1099999999999999,110.99999999999999
deployed,mid,2022-01-24,sell_short_call,QQQ220223C00390000,0.79,79.0
deployed,mid,2022-02-22,short_expiry_settlement,QQQ220222C00387000,,-0.0
deployed,mid,2022-02-22,sell_short_call,QQQ220323C00372000,0.9199999999999999,92.0
