recordType,section,metric,value,label,startDate,endDate,tradingDays,totalReturn,cagr,annualizedVolatility,sharpe,maxDrawdown,entryDate,exitDate,entryUnderlying,exitUnderlying,strike,entryCost,exitValue,pnl,pnlPct,ageDays,entryRsi,entryVix,entryVixMean,entryVixStd,vixThreshold,buyReason,sellReason,rawReason
summary,strategy_summary,symbol,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestStart,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestEnd,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,model,Approximate Black-Scholes LEAPS model using Yahoo adjusted close and trailing realized volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,entries,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,closedTrades,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,openPositions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,wins,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,losses,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,winRate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,initialCapital,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,skippedSignalsInsufficientCash,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingEquity,157550.29020246,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,totalPnl,137550.29020246,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,multipleOnInitialCapital,7.87751451,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,cagr,0.15591638,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,maxDrawdown,-0.33029175,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,availableCash,157550.29020246,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingOpenValue,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,signal,RSI(14) < 35 and VIX >= expanding mean + 2*std,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,option,"~730 days to expiry, target delta 0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,exits,<12m at +150%; 12-15m at +75%; 16-18m at +30%; force exit at 180 days to expiry,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,buyFrequency,max 1 contract every 1 trading days,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,iv,"252d realized volatility * 1.2, clamped to 0.15-0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,vixFilter,VIX close must be at or above its expanding historical mean plus 2 standard deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,capital,start with $20000 and do not add capital later,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,riskFreeRate,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Strategy,2016-03-01,2026-03-31,2536,6.46219193,0.22063918,0.25921752,0.78203143,-0.33029175,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Nasdaq Composite,2016-03-01,2026-03-31,2536,3.60393859,0.16354091,0.21900228,0.66603802,-0.3639528,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,S&P 500,2016-03-01,2026-03-31,2536,2.29998236,0.12573387,0.17988836,0.58338307,-0.3392496,,,,,,,,,,,,,,,,,,
trade,trade_log,,,,,,,,,,,,2015-08-24,2016-08-23,90.9622,109.8201,87,1429.9769,2673.9746,1243.9977,0.869942,365,19.5554,40.74,17.2599,5.8633,28.9865,RSI(14) 19.5554 < 35; VIX 40.74 >= 28.9865,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-08-25,2016-08-24,90.6203,109.1101,87,1406.1274,2610.6509,1204.5236,0.856625,365,19.1495,36.02,17.276,5.8864,29.0488,RSI(14) 19.1495 < 35; VIX 36.02 >= 29.0488,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-02-08,2019-02-25,145.4451,165.8577,141,1938.2636,3431.2562,1492.9926,0.770273,382,32.6322,33.46,16.2594,5.6461,27.5516,RSI(14) 32.6322 < 35; VIX 33.46 >= 27.5516,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-02-05,2019-03-15,149.8714,170.4745,146,1929.9997,3382.4979,1452.4983,0.75259,403,34.9852,37.32,16.2357,5.6202,27.4761,RSI(14) 34.9852 < 35; VIX 37.32 >= 27.4761,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-12-24,2019-11-15,137.1633,195.1252,128,2854.6982,7184.2812,4329.583,1.516652,326,25.8177,36.07,16.3061,5.5208,27.3477,RSI(14) 25.8177 < 35; VIX 36.07 >= 27.3477,held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2018-12-21,2019-12-16,140.6512,201.2412,132,2876.3037,7344.564,4468.2603,1.553473,360,28.5586,30.11,16.2963,5.5045,27.3053,RSI(14) 28.5586 < 35; VIX 30.11 >= 27.3053,held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2018-12-20,2019-12-20,145.1499,203.5876,136,2960.6738,7187.2599,4226.5861,1.427576,365,32.7187,28.38,16.2894,5.4972,27.2838,RSI(14) 32.7187 < 35; VIX 28.38 >= 27.2838,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2020-03-12,2020-06-08,170.8867,233.2824,159,3698.9729,9321.5042,5622.5314,1.520025,88,29.0172,75.47,16.349,5.6899,27.7288,RSI(14) 29.0172 < 35; VIX 75.47 >= 27.7288,held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-03-16,2020-06-09,163.1577,234.9725,151,4003.9623,10035.8345,6031.8722,1.506476,85,31.8203,82.69,16.3956,5.9153,28.2262,RSI(14) 31.8203 < 35; VIX 82.69 >= 28.2262,held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-03-09,2020-07-01,186.5471,242.3372,176,3562.4229,8938.5999,5376.1769,1.509135,114,31.0924,54.46,16.2937,5.4658,27.2253,RSI(14) 31.0924 < 35; VIX 54.46 >= 27.2253,held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-02-28,2020-07-06,198.3334,249.9801,189,3318.2812,8703.9276,5385.6463,1.623023,129,27.3011,40.11,16.2328,5.327,26.8868,RSI(14) 27.3011 < 35; VIX 40.11 >= 26.8868,held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-02-27,2020-07-06,198.1792,249.9801,189,3307.835,8700.1106,5392.2756,1.630152,130,27.008,39.16,16.2224,5.3049,26.8322,RSI(14) 27.008 < 35; VIX 39.16 >= 26.8322,held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2020-02-25,2020-07-09,207.5562,253.6467,198,3359.3326,8431.4024,5072.0698,1.509844,135,34.0522,27.85,16.2075,5.2803,26.7681,RSI(14) 34.0522 < 35; VIX 27.85 >= 26.7681,held <12 months and reached +150% profit,take_profit_150_before_12m
trade,trade_log,,,,,,,,,,,,2022-06-13,2023-06-13,268.5466,356.9288,249,6273.8106,12017.2022,5743.3916,0.915455,365,33.1342,34.02,18.0506,7.3333,32.7172,RSI(14) 33.1342 < 35; VIX 34.02 >= 32.7172,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-03-08,2023-06-13,314.9026,356.9288,297,5937.9404,7769.539,1831.5986,0.308457,462,34.1634,35.13,17.8534,7.2755,32.4044,RSI(14) 34.1634 < 35; VIX 35.13 >= 32.4044,held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-03-07,2023-06-15,316.3731,363.8068,298,6055.2912,8202.862,2147.5707,0.35466,465,34.8133,36.45,17.8473,7.2695,32.3863,RSI(14) 34.8133 < 35; VIX 36.45 >= 32.3863,held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-06-16,2023-06-16,264.6268,361.5174,246,6212.3428,12662.7614,6450.4186,1.038323,365,33.9971,32.95,18.0648,7.343,32.7508,RSI(14) 33.9971 < 35; VIX 32.95 >= 32.7508,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-05-09,2023-07-13,289.7448,373.0529,270,6299.2124,11365.8297,5066.6172,0.804326,430,33.1418,34.75,17.9672,7.3025,32.5722,RSI(14) 33.1418 < 35; VIX 34.75 >= 32.5722,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-04-26,2023-07-27,309.2367,370.5635,290,6307.2318,9330.0011,3022.7693,0.479255,457,33.7858,33.52,17.9263,7.2763,32.4789,RSI(14) 33.7858 < 35; VIX 33.52 >= 32.4789,held 16-18 months and reached +30% profit,take_profit_30_16_to_18m
trade,trade_log,,,,,,,,,,,,2022-10-11,2023-10-11,257.1558,365.7792,238,6646.5877,13604.8098,6958.222,1.046886,365,32.4803,33.63,18.2713,7.3717,33.0147,RSI(14) 32.4803 < 35; VIX 33.63 >= 33.0147,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2022-10-12,2023-10-12,257.0678,364.508,238,6640.3129,13480.137,6839.8241,1.030045,365,32.4297,33.57,18.2765,7.3758,33.0281,RSI(14) 32.4297 < 35; VIX 33.57 >= 33.0281,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2024-08-05,2025-08-05,431.325,558.1973,410,7275.6039,16882.668,9607.0641,1.320449,365,30.2739,38.57,18.092,7.0557,32.2034,RSI(14) 30.2739 < 35; VIX 38.57 >= 32.2034,held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
