recordType,section,metric,value,label,startDate,endDate,tradingDays,totalReturn,cagr,annualizedVolatility,sharpe,maxDrawdown,entryDate,exitDate,regime,quantity,vixStdBand,entryUnderlying,exitUnderlying,strike,entryCost,exitValue,pnl,pnlPct,ageDays,entryRsi,entryVix,entryVixMean,entryVixStd,vixThreshold,buyReason,sellReason,rawReason
summary,strategy_summary,symbol,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestStart,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestEnd,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,model,Approximate Black-Scholes LEAPS model using Yahoo adjusted close and trailing realized volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,entries,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,contractsEntered,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,closedTrades,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,openPositions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,wins,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,losses,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,winRate,0.92307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,initialCapital,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,skippedSignalsInsufficientCash,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingEquity,334239.00839679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,totalPnl,314239.00839679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,multipleOnInitialCapital,16.71195042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,cagr,0.2185865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,maxDrawdown,-0.5214217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,availableCash,309019.99290126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingOpenValue,25219.01549553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,signal,RSI(14) < 35 with tiered VIX entry filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,option,"~730 days to expiry, target delta 0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma1,"VIX >= expanding mean + 1 std -> buy 1 contract, max once per week, exits: <12m +120%, 12-15m +65%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2,"VIX >= expanding mean + 2 std -> buy 2 contracts, max once per day, exits: <12m +150%, 12-15m +75%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,forcedExit,force exit at 180 days to expiry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,iv,"252d realized volatility * 1.2, clamped to 0.15-0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,capital,start with $20000 and do not add capital later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sizingAssumption,orders require enough cash for the full intended quantity; otherwise the signal is skipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,riskFreeRate,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Strategy,2016-03-01,2026-03-31,2536,11.8006793,0.28776374,0.41121596,0.7440735,-0.5214217,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Nasdaq Composite,2016-03-01,2026-03-31,2536,3.60393859,0.16354091,0.21900228,0.66603802,-0.3639528,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,S&P 500,2016-03-01,2026-03-31,2536,2.29998236,0.12573387,0.17988836,0.58338307,-0.3392496,,,,,,,,,,,,,,,,,,,,,
trade,trade_log,,,,,,,,,,,,2014-10-13,2015-07-17,sigma1_weekly_1lot,1,1,85.1699,104.94,82,1184.9803,2642.5813,1457.601,1.230063,277,31.4464,24.64,17.706,6.2173,23.9233,"RSI(14) 31.4464 < 35; VIX 24.64 >= 23.9233; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held <12 months and reached +120% profit,take_profit_120_before_12m
trade,trade_log,,,,,,,,,,,,2015-08-24,2016-08-23,sigma2_daily_2lot,2,2,90.9622,109.8201,87,2859.9563,5347.9506,2487.9943,0.869941,365,19.5555,40.74,17.2599,5.8633,28.9865,"RSI(14) 19.5555 < 35; VIX 40.74 >= 28.9865; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-08-25,2016-08-24,sigma2_daily_2lot,2,2,90.6204,109.1102,87,2812.2624,5221.3061,2409.0437,0.856621,365,19.1496,36.02,17.276,5.8864,29.0488,"RSI(14) 19.1496 < 35; VIX 36.02 >= 29.0488; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-08-21,2016-09-22,sigma1_weekly_1lot,1,1,94.6021,111.5281,91,1429.4678,2422.6484,993.1807,0.694791,398,24.7408,28.03,17.2398,5.8253,23.0651,"RSI(14) 24.7408 < 35; VIX 28.03 >= 23.0651; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-09-28,2016-09-27,sigma1_weekly_1lot,1,1,92.6004,110.9755,88,1594.8235,2658.5264,1063.7029,0.666972,365,34.7683,27.63,17.4221,5.9351,23.3572,"RSI(14) 34.7683 < 35; VIX 27.63 >= 23.3572; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-19,2017-01-18,sigma1_weekly_1lot,1,1,93.8772,115.568,89,1693.8042,2957.198,1263.3938,0.745891,365,31.4974,26.05,17.4706,5.8193,23.2899,"RSI(14) 31.4974 < 35; VIX 26.05 >= 23.2899; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-11,2017-01-25,sigma1_weekly_1lot,1,1,96.9147,117.8129,92,1705.0406,2880.3132,1175.2726,0.689293,380,29.803,24.3,17.441,5.8109,23.2519,"RSI(14) 29.803 < 35; VIX 24.3 >= 23.2519; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-07,2017-01-26,sigma1_weekly_1lot,1,1,97.4164,117.935,92,1745.2813,2884.338,1139.0568,0.652649,385,29.8936,24.99,17.428,5.806,23.234,"RSI(14) 29.8936 < 35; VIX 24.99 >= 23.234; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-02-05,2017-02-06,sigma1_weekly_1lot,1,1,91.1461,118.1886,86,1703.7714,3479.9674,1776.196,1.042508,367,34.038,23.38,17.5258,5.8192,23.345,"RSI(14) 34.038 < 35; VIX 23.38 >= 23.345; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-02-08,2017-02-07,sigma1_weekly_1lot,1,1,89.7527,118.6207,85,1663.3955,3619.2878,1955.8922,1.175843,365,31.5336,26,17.5324,5.8218,23.3542,"RSI(14) 31.5336 < 35; VIX 26 >= 23.3542; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-06-27,2017-04-27,sigma1_weekly_1lot,1,1,95.4901,127.7714,90,1849.4165,4091.5306,2242.1141,1.212336,304,29.8468,23.85,17.4713,5.6926,23.1639,"RSI(14) 29.8468 < 35; VIX 23.85 >= 23.1639; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held <12 months and reached +120% profit,take_profit_120_before_12m
trade,trade_log,,,,,,,,,,,,2018-02-08,2019-02-25,sigma2_daily_2lot,2,2,145.4451,165.8577,141,3876.5207,6862.5078,2985.9871,0.770275,382,32.6321,33.46,16.2594,5.6461,27.5516,"RSI(14) 32.6321 < 35; VIX 33.46 >= 27.5516; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-02-05,2019-03-15,sigma2_daily_2lot,2,2,149.8715,170.4745,146,3860.0078,6764.9893,2904.9815,0.752584,403,34.9854,37.32,16.2357,5.6202,27.4761,"RSI(14) 34.9854 < 35; VIX 37.32 >= 27.4761; VIX >= mean + 2*std, buy 2 contracts per signal day; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-03-23,2019-04-01,sigma1_weekly_1lot,1,1,150.4848,174.3182,145,2200.7974,3797.9443,1597.1469,0.725713,374,33.0977,24.87,16.3105,5.6293,21.9398,"RSI(14) 33.0977 < 35; VIX 24.87 >= 21.9398; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-10-24,2019-10-28,sigma1_weekly_1lot,1,1,157.5881,189.9901,149,2857.3991,4824.6201,1967.221,0.688466,369,29.6174,25.23,16.1962,5.4981,21.6943,"RSI(14) 29.6174 < 35; VIX 25.23 >= 21.6943; VIX >= mean + 1*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +65% profit,take_profit_65_12_to_15m
