recordType,section,metric,value,label,startDate,endDate,tradingDays,totalReturn,cagr,annualizedVolatility,sharpe,maxDrawdown,entryDate,exitDate,regime,quantity,vixStdBand,sigma2SignalTag,sigma2Count60,sigma2Count20,entryUnderlying,exitUnderlying,strike,entryCost,leapsExitValue,shortCallPremiumCollected,shortCallSettlements,shortCallCloseCost,shortCallNetCash,totalExitValue,pnl,pnlPct,ageDays,entryRsi,entryVix,entryVixMean,entryVixStd,vixThreshold,buyReason,sellReason,rawReason
summary,strategy_summary,symbol,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestStart,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestEnd,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,model,Approximate Black-Scholes LEAPS + monthly short OTM call overlay using Yahoo adjusted close and trailing realized volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,entries,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,contractsEntered,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,closedTrades,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,openPositions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,wins,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,losses,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,winRate,0.94545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,initialCapital,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,skippedSignalsInsufficientCash,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingEquity,369870.84330462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,totalPnl,349870.84330462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,multipleOnInitialCapital,18.49354217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,cagr,0.22728285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,maxDrawdown,-0.33993909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,availableCash,345430.26964667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingOpenLeapsValue,25219.01894129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingShortCallLiability,778.44528334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,signal,RSI(14) < 35 with tiered VIX entry filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,option,"~730 days to expiry, target delta 0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma1,"mean+1std <= VIX < mean+2std -> buy 1 contract max once per week, exits <12m +120%, 12-15m +60%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2First,"first RSI<35 and VIX >= mean+2std signal in the last 60 trading days -> buy 1 contract, exits <12m +150%, 12-15m +80%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2Repeat,"second or later RSI<35 and VIX >= mean+2std signal in the last 20 trading days -> buy 2 contracts, or 1 if cash only covers one, exits <12m +150%, 12-15m +80%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2GapAssumption,"if a sigma2 day is not the first sigma2 signal in the last 60 trading days and also not the second-or-later sigma2 signal in the last 20 trading days, no sigma2 entry is taken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,shortCallOverlay,"while a LEAPS is open and has >180 days left, sell a 30-calendar-day call 10% OTM, 1 short call per LEAPS contract, roll on expiry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,shortCallIvAssumption,short OTM calls use the same realized-vol proxy as the LEAPS leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,forcedExit,force exit LEAPS at 180 days to expiry and buy back any still-open short call the same day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,capital,start with $20000 and do not add capital later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sizingAssumption,"sigma1 requires enough cash for 1 contract; sigma2 repeat buys 2 if possible, otherwise 1 if cash covers one contract; otherwise the signal is skipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,riskFreeRate,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Strategy,2016-03-01,2026-03-31,2536,13.58200013,0.30451557,0.2858492,0.96801597,-0.33993909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Nasdaq Composite,2016-03-01,2026-03-31,2536,3.60393859,0.16354091,0.21900228,0.66603802,-0.3639528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,S&P 500,2016-03-01,2026-03-31,2536,2.29998236,0.12573387,0.17988836,0.58338307,-0.3392496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade,trade_log,,,,,,,,,,,,2014-10-13,2015-07-17,sigma1_weekly_1lot,1,1,,,,85.1699,104.94,82,1184.9818,2642.5804,42.0726,0,27.3789,14.6937,2657.2741,1472.2923,1.24246,277,31.4463,24.64,17.706,6.2173,23.9233,"RSI(14) 31.4463 < 35; VIX 24.64 >= 23.9233; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",held <12 months and reached +120% profit,take_profit_120_before_12m
trade,trade_log,,,,,,,,,,,,2015-08-21,2016-08-22,sigma1_weekly_1lot,1,1,,,,94.6021,109.6239,91,1429.4665,2346.3261,310.7234,0,27.0994,283.6239,2629.95,1200.4835,0.839812,367,24.7408,28.03,17.2398,5.8253,23.0651,"RSI(14) 24.7408 < 35; VIX 28.03 >= 23.0651; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-08-24,2016-08-23,sigma2_first_60d_1lot,1,2,first_in_60d,1,1,90.9622,109.8201,87,1429.977,2673.9737,299.1005,0,23.1536,275.9469,2949.9206,1519.9435,1.062915,365,19.5554,40.74,17.2599,5.8633,28.9865,"RSI(14) 19.5554 < 35; VIX 40.74 >= 28.9865; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",held 12-15 months and reached +80% profit,take_profit_80_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-08-25,2016-08-24,sigma2_repeat_20d_2lot,2,2,second_or_later_in_20d,2,2,90.6203,109.1101,87,2812.2581,5221.3002,543.0888,407.2556,0.0001,135.8331,5357.1333,2544.8752,0.904922,365,19.1495,36.02,17.276,5.8864,29.0487,"RSI(14) 19.1495 < 35; VIX 36.02 >= 29.0487; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",held 12-15 months and reached +80% profit,take_profit_80_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-09-28,2016-12-27,sigma1_weekly_1lot,1,1,,,,92.6004,113.4829,88,1594.8234,2780.0292,339.7795,562.9822,0,-223.2027,2556.8264,962.003,0.603203,456,34.7684,27.63,17.4221,5.9351,23.3571,"RSI(14) 34.7684 < 35; VIX 27.63 >= 23.3571; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-07,2017-01-06,sigma1_weekly_1lot,1,1,,,,97.4163,114.5254,92,1745.279,2608.0749,290.031,0,0,290.031,2898.1059,1152.8269,0.66054,365,29.8935,24.99,17.428,5.806,23.2341,"RSI(14) 29.8935 < 35; VIX 24.99 >= 23.2341; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-11,2017-01-10,sigma1_weekly_1lot,1,1,,,,96.9148,115.1548,92,1705.0433,2665.6892,302.0507,0,13.3374,288.7133,2954.4024,1249.3591,0.732743,365,29.8032,24.3,17.441,5.8109,23.252,"RSI(14) 29.8032 < 35; VIX 24.3 >= 23.252; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-19,2017-01-18,sigma1_weekly_1lot,1,1,,,,93.8772,115.568,89,1693.8057,2957.1985,307.3731,0,0,307.3731,3264.5715,1570.7658,0.927359,365,31.4975,26.05,17.4706,5.8193,23.2899,"RSI(14) 31.4975 < 35; VIX 26.05 >= 23.2899; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",held 12-15 months and reached +60% profit,take_profit_60_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-02-08,2017-01-24,sigma1_weekly_1lot,1,1,,,,89.7527,116.6388,85,1663.3959,3440.5409,281.1666,0,0.9736,280.193,3720.7338,2057.3379,1.23683,351,31.5336,26,17.5324,5.8218,23.3541,"RSI(14) 31.5336 < 35; VIX 26 >= 23.3541; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",held <12 months and reached +120% profit,take_profit_120_before_12m
