recordType,section,metric,value,label,startDate,endDate,tradingDays,totalReturn,cagr,annualizedVolatility,sharpe,maxDrawdown,entryDate,exitDate,regime,quantity,vixStdBand,entryUnderlying,exitUnderlying,strike,entryCost,exitValue,pnl,pnlPct,ageDays,entryRsi,entryVix,entryVixMean,entryVixStd,vixThreshold,buyReason,sellReason,rawReason
summary,strategy_summary,symbol,QQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestStart,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,backtestEnd,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,model,Approximate Black-Scholes LEAPS model using Yahoo adjusted close and trailing realized volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,entries,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,contractsEntered,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,closedTrades,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,openPositions,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,wins,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,losses,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,winRate,0.92307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,initialCapital,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,skippedSignalsInsufficientCash,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingEquity,322952.776006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,totalPnl,302952.776006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,multipleOnInitialCapital,16.1476388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,cagr,0.21565157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,maxDrawdown,-0.53199109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,availableCash,297733.75840787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_summary,endingOpenValue,25219.01759813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,signal,RSI(14) < 35 with tiered VIX entry filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,option,"~730 days to expiry, target delta 0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma1,"expanding mean + 1 std <= VIX < expanding mean + 2 std -> buy 1 contract, max once per week, exits: <12m +100%, 12-15m +50%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sigma2,"VIX >= expanding mean + 2 std -> buy 2 contracts, max once per day; if cash is insufficient for 2 but enough for 1, buy 1 instead; exits: <12m +150%, 12-15m +75%, 16-18m +30%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,forcedExit,force exit at 180 days to expiry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,iv,"252d realized volatility * 1.2, clamped to 0.15-0.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,capital,start with $20000 and do not add capital later,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,sizingAssumption,"sigma1 requires enough cash for 1 contract; sigma2 buys 2 if possible, otherwise 1 if cash covers one contract, otherwise the signal is skipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,strategy_assumptions,riskFreeRate,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Strategy,2016-03-01,2026-03-31,2536,11.47857174,0.28451224,0.41334199,0.736236,-0.53199109,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,Nasdaq Composite,2016-03-01,2026-03-31,2536,3.60393859,0.16354091,0.21900228,0.66603802,-0.3639528,,,,,,,,,,,,,,,,,,,,,
summary,comparison_metrics,,,S&P 500,2016-03-01,2026-03-31,2536,2.29998236,0.12573387,0.17988836,0.58338307,-0.3392496,,,,,,,,,,,,,,,,,,,,,
trade,trade_log,,,,,,,,,,,,2014-10-13,2015-04-24,sigma1_weekly_1lot,1,1,85.17,101.8879,82,1184.9817,2412.1007,1227.1189,1.035559,193,31.4465,24.64,17.706,6.2173,23.9233,"RSI(14) 31.4465 < 35; VIX 24.64 >= 23.9233; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held <12 months and reached +100% profit,take_profit_100_before_12m
trade,trade_log,,,,,,,,,,,,2015-08-21,2016-08-22,sigma1_weekly_1lot,1,1,94.6021,109.6239,91,1429.4685,2346.3254,916.8569,0.641397,367,24.7409,28.03,17.2398,5.8253,23.0651,"RSI(14) 24.7409 < 35; VIX 28.03 >= 23.0651; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-08-24,2016-08-23,sigma2_daily_2lot,2,2,90.9622,109.8201,87,2859.957,5347.9501,2487.9931,0.869941,365,19.5555,40.74,17.2599,5.8633,28.9865,"RSI(14) 19.5555 < 35; VIX 40.74 >= 28.9865; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-08-25,2016-08-24,sigma2_daily_2lot,2,2,90.6203,109.1101,87,2812.2589,5221.2987,2409.0399,0.856621,365,19.1496,36.02,17.276,5.8864,29.0488,"RSI(14) 19.1496 < 35; VIX 36.02 >= 29.0488; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2015-09-28,2016-09-27,sigma1_weekly_1lot,1,1,92.6004,110.9755,88,1594.822,2658.5266,1063.7046,0.666974,365,34.7682,27.63,17.4221,5.9351,23.3572,"RSI(14) 34.7682 < 35; VIX 27.63 >= 23.3572; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-07,2017-01-09,sigma1_weekly_1lot,1,1,97.4164,114.9012,92,1745.2798,2639.0212,893.7415,0.512091,368,29.8934,24.99,17.428,5.806,23.234,"RSI(14) 29.8934 < 35; VIX 24.99 >= 23.234; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-01-11,2017-01-10,sigma1_weekly_1lot,1,1,96.9147,115.1548,92,1705.0412,2665.6901,960.6489,0.563417,365,29.8029,24.3,17.441,5.8109,23.2519,"RSI(14) 29.8029 < 35; VIX 24.3 >= 23.2519; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-02-08,2017-01-11,sigma1_weekly_1lot,1,1,89.7527,115.4647,85,1663.3977,3347.726,1684.3283,1.012583,338,31.5336,26,17.5324,5.8218,23.3542,"RSI(14) 31.5336 < 35; VIX 26 >= 23.3542; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held <12 months and reached +100% profit,take_profit_100_before_12m
trade,trade_log,,,,,,,,,,,,2016-01-19,2017-01-18,sigma1_weekly_1lot,1,1,93.8772,115.568,89,1693.8071,2957.1986,1263.3915,0.745889,365,31.4975,26.05,17.4706,5.8193,23.2899,"RSI(14) 31.4975 < 35; VIX 26.05 >= 23.2899; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
trade,trade_log,,,,,,,,,,,,2016-02-05,2017-01-25,sigma1_weekly_1lot,1,1,91.1461,117.8129,86,1703.7741,3458.452,1754.6778,1.029877,355,34.038,23.38,17.5258,5.8192,23.345,"RSI(14) 34.038 < 35; VIX 23.38 >= 23.345; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held <12 months and reached +100% profit,take_profit_100_before_12m
trade,trade_log,,,,,,,,,,,,2016-06-27,2017-03-01,sigma1_weekly_1lot,1,1,95.49,123.458,90,1849.4159,3708.5928,1859.1769,1.005278,247,29.8467,23.85,17.4713,5.6926,23.1639,"RSI(14) 29.8467 < 35; VIX 23.85 >= 23.1639; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held <12 months and reached +100% profit,take_profit_100_before_12m
trade,trade_log,,,,,,,,,,,,2018-02-08,2019-02-25,sigma2_daily_2lot,2,2,145.445,165.8578,141,3876.5191,6862.5098,2985.9906,0.770276,382,32.632,33.46,16.2594,5.6461,27.5516,"RSI(14) 32.632 < 35; VIX 33.46 >= 27.5516; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-02-05,2019-03-15,sigma2_daily_2lot,2,2,149.8714,170.4745,146,3859.9993,6764.9891,2904.9898,0.752588,403,34.9852,37.32,16.2357,5.6202,27.4761,"RSI(14) 34.9852 < 35; VIX 37.32 >= 27.4761; VIX >= mean + 2*std, buy 2 contracts per signal day, or 1 if cash is insufficient for 2; qty=2",held 12-15 months and reached +75% profit,take_profit_75_12_to_15m
trade,trade_log,,,,,,,,,,,,2018-03-23,2019-03-25,sigma1_weekly_1lot,1,1,150.4849,170.6602,145,2200.8018,3557.4496,1356.6478,0.616433,367,33.0979,24.87,16.3105,5.6293,21.9398,"RSI(14) 33.0979 < 35; VIX 24.87 >= 21.9398; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; qty=1",held 12-15 months and reached +50% profit,take_profit_50_12_to_15m
