date,strategyNormalized,nasdaqCompositeNormalized,sp500Normalized
2016-03-01,1,1,1
2016-03-02,1.0001255,1.00294691,1.00409431
2016-03-03,0.99865224,1.00379986,1.00760737
2016-03-04,0.99879545,1.00584696,1.01093842
2016-03-07,0.99400042,1.00397686,1.01183311
2016-03-08,0.98819818,0.9913041,1.00046
2016-03-09,0.99216738,0.99675447,1.00551471
2016-03-10,0.99095353,0.99414877,1.00567138
2016-03-11,1.00334999,1.01255333,1.02215986
2016-03-14,1.00418864,1.0129392,1.02087095
2016-03-15,1.00362845,1.00833116,1.01899567
2016-03-16,1.01007178,1.01585852,1.0247024
2016-03-17,1.00944349,1.0182084,1.03146056
2016-03-18,1.01048046,1.02261383,1.0360048
2016-03-21,1.01299674,1.02543288,1.03702587
2016-03-22,1.015175,1.0281602,1.03611599
2016-03-23,1.00894203,1.01690118,1.02949932
2016-03-24,1.00848665,1.01789063,1.0291101
2016-03-28,1.00695619,1.01645981,1.02967123
2016-03-29,1.01904297,1.0334826,1.03874948
2016-03-30,1.02256043,1.03831669,1.04326837
2016-03-31,1.02119844,1.03843611,1.04114035
2016-04-01,1.02940301,1.0479657,1.04773172
2016-04-04,1.02605767,1.04311662,1.04437026
2016-04-05,1.0184591,1.03290901,1.03377566
2016-04-06,1.03131065,1.04928354,1.04463818
2016-04-07,1.02001956,1.03385577,1.03212781
2016-04-08,1.01929812,1.03435044,1.03500392
2016-04-11,1.01611673,1.03066355,1.03216823
2016-04-12,1.02247198,1.03891371,1.04214118
2016-04-13,1.03248955,1.05497693,1.05260442
2016-04-14,1.03240663,1.05465072,1.05278644
2016-04-15,1.03027691,1.05301521,1.0517502
2016-04-18,1.03395689,1.05766375,1.05862972
2016-04-19,1.02877575,1.05346511,1.06189505
2016-04-20,1.02928588,1.05512832,1.06270373
2016-04-21,1.02921058,1.05465072,1.05718402
2016-04-22,1.01739367,1.04619368,1.05723462
2016-04-25,1.0168546,1.04396749,1.05531886
2016-04-26,1.01301618,1.04236602,1.05729521
2016-04-27,1.00687653,1.0370053,1.05903906
2016-04-28,0.99790436,1.02466947,1.04926332
2016-04-29,0.99375059,1.01828722,1.0439508
2016-05-02,1.00012128,1.02729225,1.052104
2016-05-03,0.99331635,1.01569859,1.04297528
2016-05-04,0.98837457,1.0076851,1.03678325
2016-05-05,0.98800025,1.00586185,1.03653545
2016-05-06,0.99164598,1.00992836,1.03982608
2016-05-09,0.99316262,1.01292431,1.04060958
2016-05-10,1.00316653,1.0256482,1.05360018
2016-05-11,0.99641452,1.01515904,1.04352616
2016-05-12,0.99309478,1.01017784,1.04334932
2016-05-13,0.99012638,1.00598773,1.03450351
2016-05-16,0.99891929,1.01830857,1.04463818
2016-05-17,0.98977107,1.00557188,1.03480678
2016-05-18,0.9922352,1.01055954,1.0350191
2016-05-19,0.98840467,1.00488948,1.03118258
2016-05-20,0.99626381,1.01705049,1.03738979
2016-05-23,0.99492417,1.01624439,1.03522636
2016-05-24,1.00983004,1.03656174,1.04938969
