date,strategyNormalized,nasdaqCompositeNormalized,sp500Normalized
2016-03-01,1,1,1
2016-03-02,1.0023193,1.00294691,1.00409431
2016-03-03,1.0001978,1.00379986,1.00760737
2016-03-04,1.002746,1.00584696,1.01093842
2016-03-07,0.99334268,1.00397686,1.01183311
2016-03-08,0.97435614,0.9913041,1.00046
2016-03-09,0.98999845,0.99675447,1.00551471
2016-03-10,0.98654068,0.99414877,1.00567138
2016-03-11,1.03314616,1.01255333,1.02215986
2016-03-14,1.03906816,1.0129392,1.02087095
2016-03-15,1.03781221,1.00833116,1.01899567
2016-03-16,1.06222061,1.01585852,1.0247024
2016-03-17,1.06090427,1.0182084,1.03146056
2016-03-18,1.0656122,1.02261383,1.0360048
2016-03-21,1.07725999,1.02543288,1.03702587
2016-03-22,1.08607946,1.0281602,1.03611599
2016-03-23,1.06369498,1.01690118,1.02949932
2016-03-24,1.06228939,1.01789063,1.0291101
2016-03-28,1.0584392,1.01645981,1.02967123
2016-03-29,1.10346144,1.0334826,1.03874948
2016-03-30,1.11684423,1.03831669,1.04326837
2016-03-31,1.11299368,1.03843611,1.04114035
2016-04-01,1.14296097,1.0479657,1.04773172
2016-04-04,1.13457307,1.04311662,1.04437026
2016-04-05,1.10686347,1.03290901,1.03377566
2016-04-06,1.155845,1.04928354,1.04463818
2016-04-07,1.11464735,1.03385577,1.03212781
2016-04-08,1.11237365,1.03435044,1.03500392
2016-04-11,1.1019437,1.03066355,1.03216823
2016-04-12,1.12654896,1.03891371,1.04214118
2016-04-13,1.16429818,1.05497693,1.05260442
2016-04-14,1.1649093,1.05465072,1.05278644
2016-04-15,1.15791051,1.05301521,1.0517502
2016-04-18,1.17377449,1.05766375,1.05862972
2016-04-19,1.15452157,1.05346511,1.06189505
2016-04-20,1.15697708,1.05512832,1.06270373
2016-04-21,1.15728697,1.05465072,1.05718402
2016-04-22,1.11217028,1.04619368,1.05723462
2016-04-25,1.1109422,1.04396749,1.05531886
2016-04-26,1.09609254,1.04236602,1.05729521
2016-04-27,1.07192791,1.0370053,1.05903906
2016-04-28,1.03756673,1.02466947,1.04926332
2016-04-29,1.02136739,1.01828722,1.0439508
2016-05-02,1.04706467,1.02729225,1.052104
2016-05-03,1.02038779,1.01569859,1.04297528
2016-05-04,1.00068964,1.0076851,1.03678325
2016-05-05,0.99927866,1.00586185,1.03653545
2016-05-06,1.01398301,1.00992836,1.03982608
2016-05-09,1.02044345,1.01292431,1.04060958
2016-05-10,1.05933309,1.0256482,1.05360018
2016-05-11,1.03379746,1.01515904,1.04352616
2016-05-12,1.02139008,1.01017784,1.04334932
2016-05-13,1.01004349,1.00598773,1.03450351
2016-05-16,1.0452324,1.01830857,1.04463818
2016-05-17,1.00980927,1.00557188,1.03480678
2016-05-18,1.01975532,1.01055954,1.0350191
2016-05-19,1.00481851,1.00488948,1.03118258
2016-05-20,1.03617208,1.01705049,1.03738979
2016-05-23,1.0320484,1.01624439,1.03522636
2016-05-24,1.08890782,1.03656174,1.04938969
2016-05-25,1.10853167,1.0437756,1.05670891
2016-05-26,1.11712327,1.04524265,1.05648653
2016-05-27,1.13216551,1.05200868,1.06101554
2016-05-31,1.13993544,1.05511125,1.05994894
2016-06-01,1.14069355,1.05600689,1.06115202
2016-06-02,1.14717842,1.06008183,1.06414944
2016-06-03,1.13365517,1.05393209,1.06105083
2016-06-06,1.14508768,1.05951677,1.06624709
2016-06-07,1.13729933,1.05803265,1.06762196
2016-06-08,1.142603,1.06078131,1.07115533
2016-06-09,1.13734445,1.05736524,1.06931534
2016-06-10,1.10387859,1.04370302,1.05950418
2016-06-13,1.07859071,1.03387066,1.0509061
2016-06-14,1.07823117,1.0328279,1.04901564
2016-06-15,1.06923059,1.03098987,1.0470847
2016-06-16,1.07781316,1.03312006,1.05036521
2016-06-17,1.04189662,1.0236139,1.04694316
2016-06-20,1.05938716,1.031476,1.053024
2016-06-21,1.06825636,1.03287267,1.05587986
2016-06-22,1.06085162,1.03064648,1.05413601
2016-06-23,1.10297377,1.04700613,1.06822357
2016-06-24,0.98884892,1.00391929,1.02985319
2016-06-27,0.93450317,0.97970826,1.01121645
2016-06-28,0.9947699,1.00048405,1.02918593
2016-06-29,1.04589466,1.01911675,1.04671572
2016-06-30,1.07896411,1.03264027,1.06091447
2016-07-01,1.09354636,1.03688368,1.06298177
2016-07-05,1.07764775,1.02842456,1.05570302
2016-07-06,1.10181625,1.03615661,1.06135416
2016-07-07,1.10950886,1.03992024,1.06042911
2016-07-08,1.15405867,1.05696854,1.0766042
2016-07-11,1.1718308,1.06376664,1.08027393
2016-07-12,1.18527009,1.07105504,1.08784589
2016-07-13,1.18019083,1.06741084,1.0879925
2016-07-14,1.19952336,1.07345188,1.09371447
2016-07-15,1.19617309,1.07249866,1.09269847
2016-07-18,1.21744944,1.07808335,1.0953016
2016-07-19,1.20930986,1.07394448,1.09372965
2016-07-20,1.2415778,1.0853655,1.09840021
2016-07-21,1.2374051,1.08194724,1.0944322
2016-07-22,1.24946722,1.08754692,1.09941621
2016-07-25,1.25650763,1.08700737,1.09610534
2016-07-26,1.2617018,1.08965577,1.09645915
2016-07-27,1.27678494,1.09600178,1.095145
2016-07-28,1.28936084,1.09923658,1.09690403
2016-07-29,1.29753081,1.10076121,1.09869342
2016-08-01,1.31859867,1.10546744,1.09729831
2016-08-02,1.2924633,1.09555823,1.09031772
2016-08-03,1.30495077,1.10025165,1.09373471
2016-08-04,1.31572746,1.10163978,1.09396721
2016-08-05,1.35084369,1.11334016,1.10337915
2016-08-08,1.34788346,1.11163853,1.1023782
2016-08-09,1.35642859,1.11426985,1.1028079
2016-08-10,1.34659788,1.1098132,1.09964871
2016-08-11,1.36291062,1.11489248,1.10485509
2016-08-12,1.36585232,1.11584997,1.10397557
2016-08-15,1.38308675,1.12206156,1.10705888
2016-08-16,1.36175291,1.1146174,1.10099322
2016-08-17,1.36865743,1.11494798,1.10305052
2016-08-18,1.36947291,1.11739803,1.10547681
2016-08-19,1.36555844,1.11702059,1.10388462
2016-08-22,1.36148277,1.11834698,1.10326278
2016-08-23,1.3628808,1.1216479,1.10541609
2016-08-24,1.34148423,1.11260872,1.09962341
2016-08-25,1.33123834,1.11143809,1.09812217
2016-08-26,1.33320832,1.11287099,1.09638844
2016-08-29,1.33636169,1.11573055,1.10212041
2016-08-30,1.32764262,1.11373894,1.09996722
2016-08-31,1.32223937,1.1116556,1.09735384
2016-09-01,1.32673755,1.11463874,1.09730843
2016-09-02,1.33483863,1.1194771,1.10191827
2016-09-06,1.34992567,1.12502347,1.10520384
2016-09-07,1.349569,1.12673364,1.10504205
2016-09-08,1.33432872,1.12151993,1.10258553
2016-09-09,1.27143712,1.0930378,1.07554785
2016-09-12,1.31567554,1.11137198,1.09133372
2016-09-13,1.29333473,1.09929416,1.07514851
2016-09-14,1.30477525,1.10324333,1.07451667
2016-09-15,1.34406456,1.11943233,1.08537925
2016-09-16,1.34279781,1.11834052,1.08128488
2016-09-19,1.33087695,1.11630623,1.08126476
2016-09-20,1.33556294,1.11765396,1.08158821
2016-09-21,1.36015853,1.12913256,1.09339608
2016-09-22,1.38066067,1.13858749,1.10050292
2016-09-23,1.36424271,1.13138645,1.09418959
2016-09-26,1.34219921,1.12109564,1.08479295
2016-09-27,1.36564372,1.13137791,1.09178354
2016-09-28,1.36996752,1.13411585,1.09756623
2016-09-29,1.35021924,1.12358192,1.08733536
2016-09-30,1.36964217,1.13271918,1.09599921
2016-10-03,1.3651676,1.13034587,1.09242549
2016-10-04,1.36063136,1.12795549,1.08701191
2016-10-05,1.36992384,1.1335764,1.09168247
2016-10-06,1.36837809,1.13162103,1.09220818
2016-10-07,1.36243162,1.1285397,1.0886547
2016-10-10,1.37898975,1.13627384,1.09366894
2016-10-11,1.34181041,1.11881396,1.08005662
2016-10-12,1.33935298,1.11715709,1.081295
2016-10-13,1.32983934,1.11167903,1.07794378
2016-10-14,1.33221878,1.11185603,1.0781611
2016-10-17,1.32437351,1.10879813,1.07488565
2016-10-18,1.34777362,1.11818486,1.08150738
2016-10-19,1.34726942,1.11873295,1.08387801
2016-10-20,1.34386526,1.11775631,1.0823869
