eventDate,eventType,positionEntryDate,regime,quantity,underlying,shortCallStrike,shortCallExpiry,cashFlow
2014-10-13,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,85.1699,94,2014-11-12,2.3941
2014-11-12,short_call_settlement,2014-10-13,sigma1_weekly_1lot,1,93.8739,94,2014-11-12,0
2014-11-12,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,93.8739,103,2014-12-12,4.2593
2014-12-12,short_call_settlement,2014-10-13,sigma1_weekly_1lot,1,94.0663,103,2014-12-12,0
2014-12-12,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,94.0663,103,2015-01-11,4.9061
2015-01-12,short_call_settlement,2014-10-13,sigma1_weekly_1lot,1,93.3868,103,2015-01-11,0
2015-01-12,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,93.3868,103,2015-02-11,4.4749
2015-02-11,short_call_settlement,2014-10-13,sigma1_weekly_1lot,1,96.3572,103,2015-02-11,0
2015-02-11,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,96.3572,106,2015-03-13,4.7052
2015-03-13,short_call_settlement,2014-10-13,sigma1_weekly_1lot,1,96.8722,106,2015-03-13,0
2015-03-13,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,96.8722,107,2015-04-12,3.9892
2015-04-13,short_call_settlement,2014-10-13,sigma1_weekly_1lot,1,99.0674,107,2015-04-12,0
2015-04-13,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,99.0674,109,2015-05-13,3.5156
2015-05-13,short_call_settlement,2014-10-13,sigma1_weekly_1lot,1,99.5467,109,2015-05-13,0
2015-05-13,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,99.5467,110,2015-06-12,2.9116
2015-06-12,short_call_settlement,2014-10-13,sigma1_weekly_1lot,1,100.238,110,2015-06-12,0
2015-06-12,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,100.238,110,2015-07-12,4.7473
2015-07-13,short_call_settlement,2014-10-13,sigma1_weekly_1lot,1,101.1984,110,2015-07-12,0
2015-07-13,sell_short_call,2014-10-13,sigma1_weekly_1lot,1,101.1984,111,2015-08-12,6.1694
2015-07-17,close_short_call,2014-10-13,sigma1_weekly_1lot,1,104.94,111,2015-08-12,-27.3789
2015-08-21,sell_short_call,2015-08-21,sigma1_weekly_1lot,1,94.6021,104,2015-09-20,7.7267
2015-08-24,sell_short_call,2015-08-24,sigma2_first_60d_1lot,1,90.9622,100,2015-09-23,8.8536
2015-08-25,sell_short_call,2015-08-25,sigma2_repeat_20d_2lot,2,90.6203,100,2015-09-24,14.8488
2015-09-21,short_call_settlement,2015-08-21,sigma1_weekly_1lot,1,97.8699,104,2015-09-20,0
2015-09-21,sell_short_call,2015-08-21,sigma1_weekly_1lot,1,97.8699,108,2015-10-21,14.2529
2015-09-23,short_call_settlement,2015-08-24,sigma2_first_60d_1lot,1,96.4808,100,2015-09-23,0
2015-09-23,sell_short_call,2015-08-24,sigma2_first_60d_1lot,1,96.4808,106,2015-10-23,16.7985
2015-09-24,short_call_settlement,2015-08-25,sigma2_repeat_20d_2lot,2,96.1288,100,2015-09-24,0
2015-09-24,sell_short_call,2015-08-25,sigma2_repeat_20d_2lot,2,96.1288,106,2015-10-24,28.9057
2015-09-28,sell_short_call,2015-09-28,sigma1_weekly_1lot,1,92.6004,102,2015-10-28,14.9014
2015-10-21,short_call_settlement,2015-08-21,sigma1_weekly_1lot,1,99.5739,108,2015-10-21,0
2015-10-21,sell_short_call,2015-08-21,sigma1_weekly_1lot,1,99.5739,110,2015-11-20,12.4713
2015-10-23,short_call_settlement,2015-08-24,sigma2_first_60d_1lot,1,104.4452,106,2015-10-23,0
2015-10-23,sell_short_call,2015-08-24,sigma2_first_60d_1lot,1,104.4452,115,2015-11-22,16.0292
2015-10-26,short_call_settlement,2015-08-25,sigma2_repeat_20d_2lot,2,104.51,106,2015-10-24,0
2015-10-26,sell_short_call,2015-08-25,sigma2_repeat_20d_2lot,2,104.51,115,2015-11-25,32.7127
2015-10-28,short_call_settlement,2015-09-28,sigma1_weekly_1lot,1,105.5935,102,2015-10-28,-359.3544
2015-10-28,sell_short_call,2015-09-28,sigma1_weekly_1lot,1,105.5935,116,2015-11-27,17.4181
2015-11-20,short_call_settlement,2015-08-21,sigma1_weekly_1lot,1,106.0195,110,2015-11-20,0
2015-11-20,sell_short_call,2015-08-21,sigma1_weekly_1lot,1,106.0195,117,2015-12-20,15.8856
2015-11-23,short_call_settlement,2015-08-24,sigma2_first_60d_1lot,1,105.7139,115,2015-11-22,0
2015-11-23,sell_short_call,2015-08-24,sigma2_first_60d_1lot,1,105.7139,116,2015-12-23,19.6647
2015-11-25,short_call_settlement,2015-08-25,sigma2_repeat_20d_2lot,2,105.7139,115,2015-11-25,0
2015-11-25,sell_short_call,2015-08-25,sigma2_repeat_20d_2lot,2,105.7139,116,2015-12-25,39.1777
2015-11-27,short_call_settlement,2015-09-28,sigma1_weekly_1lot,1,105.8621,116,2015-11-27,0
2015-11-27,sell_short_call,2015-09-28,sigma1_weekly_1lot,1,105.8621,116,2015-12-27,20.6109
2015-12-21,short_call_settlement,2015-08-21,sigma1_weekly_1lot,1,103.1571,117,2015-12-20,0
2015-12-21,sell_short_call,2015-08-21,sigma1_weekly_1lot,1,103.1571,113,2016-01-20,21.6518
2015-12-23,short_call_settlement,2015-08-24,sigma2_first_60d_1lot,1,104.6062,116,2015-12-23,0
2015-12-23,sell_short_call,2015-08-24,sigma2_first_60d_1lot,1,104.6062,115,2016-01-22,19.3505
2015-12-28,short_call_settlement,2015-08-25,sigma2_repeat_20d_2lot,2,104.5319,116,2015-12-25,0
2015-12-28,short_call_settlement,2015-09-28,sigma1_weekly_1lot,1,104.5319,116,2015-12-27,0
2015-12-28,sell_short_call,2015-08-25,sigma2_repeat_20d_2lot,2,104.5319,115,2016-01-27,37.5534
2015-12-28,sell_short_call,2015-09-28,sigma1_weekly_1lot,1,104.5319,115,2016-01-27,18.7767
2016-01-07,sell_short_call,2016-01-07,sigma1_weekly_1lot,1,97.4163,107,2016-02-06,20.3168
2016-01-11,sell_short_call,2016-01-11,sigma1_weekly_1lot,1,96.9148,107,2016-02-10,16.4076
2016-01-19,sell_short_call,2016-01-19,sigma1_weekly_1lot,1,93.8772,103,2016-02-18,23.0692
2016-01-20,short_call_settlement,2015-08-21,sigma1_weekly_1lot,1,93.5892,113,2016-01-20,0
