date,equity,openLeapsValue,shortCallLiability,availableCash,openContracts,qqqAdjClose,qqqRsi,qqqIv,vixClose,vixMean,vixStd
2012-01-03,20000,0,0,20000,0,50.31255,56.59341,0.285384,22.969999,24.197707,8.12406
2012-01-04,20000,0,0,20000,0,50.524765,57.817085,0.285424,22.219999,24.189921,8.108938
2012-01-05,20000,0,0,20000,0,50.940369,60.184374,0.285412,21.48,24.179294,8.094739
2012-01-06,20000,0,0,20000,0,51.117222,61.182668,0.285416,20.629999,24.16543,8.081897
2012-01-09,20000,0,0,20000,0,50.949188,59.652285,0.285444,21.07,24.153385,8.068407
2012-01-10,20000,0,0,20000,0,51.320591,61.919575,0.285539,20.690001,24.139961,8.055581
2012-01-11,20000,0,0,20000,0,51.426689,62.566708,0.285544,21.049999,24.128031,8.042246
2012-01-12,20000,0,0,20000,0,51.630062,63.83537,0.285458,20.469999,24.113961,8.029911
2012-01-13,20000,0,0,20000,0,51.444359,61.776531,0.285494,20.91,24.101686,8.016907
2012-01-17,20000,0,0,20000,0,51.913017,64.857029,0.285562,22.200001,24.094427,8.002397
2012-01-18,20000,0,0,20000,0,52.602707,68.837262,0.285974,20.889999,24.082243,7.989554
2012-01-19,20000,0,0,20000,0,52.929878,70.54171,0.28572,19.870001,24.066288,7.978563
2012-01-20,20000,0,0,20000,0,52.850285,69.545151,0.28559,18.280001,24.044453,7.971367
2012-01-23,20000,0,0,20000,0,52.867996,69.647908,0.285428,18.67,24.024248,7.963134
2012-01-24,20000,0,0,20000,0,52.770714,68.285083,0.284982,18.91,24.005094,7.954311
2012-01-25,20000,0,0,20000,0,53.433865,72.268598,0.285356,18.309999,23.983843,7.94702
2012-01-26,20000,0,0,20000,0,53.248199,69.631587,0.285328,18.57,23.963717,7.939044
2012-01-27,20000,0,0,20000,0,53.407364,70.621269,0.28526,18.530001,23.943593,7.931171
2012-01-30,20000,0,0,20000,0,53.451572,70.90489,0.283543,19.4,23.926827,7.92128
2012-01-31,20000,0,0,20000,0,53.522316,71.38102,0.283494,19.440001,23.910331,7.91133
2012-02-01,20000,0,0,20000,0,53.95557,74.168983,0.282797,18.549999,23.890696,7.903435
2012-02-02,20000,0,0,20000,0,54.123596,75.17887,0.282808,17.98,23.869124,7.897024
2012-02-03,20000,0,0,20000,0,54.866329,79.073521,0.283253,17.1,23.844509,7.893162
2012-02-06,20000,0,0,20000,0,54.822124,78.286198,0.283187,17.76,23.822464,7.887306
2012-02-07,20000,0,0,20000,0,54.937069,78.875202,0.283146,17.65,23.80018,7.881734
2012-02-08,20000,0,0,20000,0,55.228848,80.333542,0.28311,18.16,23.779892,7.874764
2012-02-09,20000,0,0,20000,0,55.626766,82.143952,0.283218,18.629999,23.761434,7.866632
2012-02-10,20000,0,0,20000,0,55.237717,74.885503,0.283353,20.790001,23.750821,7.854529
2012-02-13,20000,0,0,20000,0,55.750557,77.684696,0.283434,19.040001,23.734057,7.845525
2012-02-14,20000,0,0,20000,0,55.892033,78.39993,0.283436,19.540001,23.719184,7.835534
2012-02-15,20000,0,0,20000,0,55.502987,71.60347,0.283565,21.139999,23.710071,7.823131
2012-02-16,20000,0,0,20000,0,56.263428,75.985626,0.283918,19.219999,23.694261,7.813841
2012-02-17,20000,0,0,20000,0,56.086559,73.157799,0.283948,17.780001,23.673509,7.807936
2012-02-21,20000,0,0,20000,0,56.245728,74.09222,0.283947,18.190001,23.654336,7.800967
2012-02-22,20000,0,0,20000,0,55.989307,69.87225,0.281744,18.190001,23.635296,7.793994
2012-02-23,20000,0,0,20000,0,56.360683,72.330284,0.281644,16.799999,23.611562,7.790822
2012-02-24,20000,0,0,20000,0,56.55521,73.547688,0.281607,17.309999,23.589758,7.786113
2012-02-27,20000,0,0,20000,0,56.634781,74.050628,0.281154,18.190001,23.571138,7.779096
2012-02-28,20000,0,0,20000,0,57.209515,77.393927,0.281385,17.959999,23.551856,7.772635
2012-02-29,20000,0,0,20000,0,56.95311,72.88248,0.280729,18.43,23.534315,7.765056
2012-03-01,20000,0,0,20000,0,57.404064,75.578776,0.28081,17.26,23.512901,7.76041
2012-03-02,20000,0,0,20000,0,57.359867,74.793849,0.279876,17.290001,23.491735,7.755652
2012-03-05,20000,0,0,20000,0,56.767418,65.042425,0.280098,18.049999,23.473288,7.74893
2012-03-06,20000,0,0,20000,0,56.210361,57.457031,0.279866,20.870001,23.464493,7.737265
2012-03-07,20000,0,0,20000,0,56.643646,61.243106,0.279968,19.07,23.449697,7.728392
2012-03-08,20000,0,0,20000,0,57.253746,65.85146,0.280099,17.950001,23.431242,7.721945
2012-03-09,20000,0,0,20000,0,57.492477,67.480865,0.279445,17.110001,23.4101,7.717641
