entryDate,exitDate,regime,vixStdBand,sigma2SignalTag,sigma2Count60,sigma2Count20,quantity,entryUnderlying,exitUnderlying,entryRsi,entryIv,entryVix,entryVixMean,entryVixStd,vixThreshold,strike,entryCost,leapsExitValue,shortCallPremiumCollected,shortCallSettlements,shortCallCloseCost,shortCallNetCash,totalExitValue,pnl,pnlPct,ageDays,reason,buyReason,win
2014-10-13,2015-07-17,sigma1_weekly_1lot,1,,,,1,85.1699,104.94,31.4463,0.1575,24.64,17.706,6.2173,23.9233,82,1184.9818,2642.5804,42.0726,0,27.3789,14.6937,2657.2741,1472.2923,1.24246,277,take_profit_120_before_12m,"RSI(14) 31.4463 < 35; VIX 24.64 >= 23.9233; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2015-08-21,2016-08-22,sigma1_weekly_1lot,1,,,,1,94.6021,109.6239,24.7408,0.1809,28.03,17.2398,5.8253,23.0651,91,1429.4665,2346.3261,310.7234,0,27.0994,283.6239,2629.95,1200.4835,0.839812,367,take_profit_60_12_to_15m,"RSI(14) 24.7408 < 35; VIX 28.03 >= 23.0651; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2015-08-24,2016-08-23,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,90.9622,109.8201,19.5554,0.187,40.74,17.2599,5.8633,28.9865,87,1429.977,2673.9737,299.1005,0,23.1536,275.9469,2949.9206,1519.9435,1.062915,365,take_profit_80_12_to_15m,"RSI(14) 19.5554 < 35; VIX 40.74 >= 28.9865; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",true
2015-08-25,2016-08-24,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,90.6203,109.1101,19.1495,0.187,36.02,17.276,5.8864,29.0487,87,2812.2581,5221.3002,543.0888,407.2556,0.0001,135.8331,5357.1333,2544.8752,0.904922,365,take_profit_80_12_to_15m,"RSI(14) 19.1495 < 35; VIX 36.02 >= 29.0487; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; short call overlay active",true
2015-09-28,2016-12-27,sigma1_weekly_1lot,1,,,,1,92.6004,113.4829,34.7684,0.2106,27.63,17.4221,5.9351,23.3571,88,1594.8234,2780.0292,339.7795,562.9822,0,-223.2027,2556.8264,962.003,0.603203,456,take_profit_60_12_to_15m,"RSI(14) 34.7684 < 35; VIX 27.63 >= 23.3571; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2016-01-07,2017-01-06,sigma1_weekly_1lot,1,,,,1,97.4163,114.5254,29.8935,0.218,24.99,17.428,5.806,23.2341,92,1745.279,2608.0749,290.031,0,0,290.031,2898.1059,1152.8269,0.66054,365,take_profit_60_12_to_15m,"RSI(14) 29.8935 < 35; VIX 24.99 >= 23.2341; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2016-01-11,2017-01-10,sigma1_weekly_1lot,1,,,,1,96.9148,115.1548,29.8032,0.2169,24.3,17.441,5.8109,23.252,92,1705.0433,2665.6892,302.0507,0,13.3374,288.7133,2954.4024,1249.3591,0.732743,365,take_profit_60_12_to_15m,"RSI(14) 29.8032 < 35; VIX 24.3 >= 23.252; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2016-01-19,2017-01-18,sigma1_weekly_1lot,1,,,,1,93.8772,115.568,31.4975,0.2247,26.05,17.4706,5.8193,23.2899,89,1693.8057,2957.1985,307.3731,0,0,307.3731,3264.5715,1570.7658,0.927359,365,take_profit_60_12_to_15m,"RSI(14) 31.4975 < 35; VIX 26.05 >= 23.2899; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2016-02-08,2017-01-24,sigma1_weekly_1lot,1,,,,1,89.7527,116.6388,31.5336,0.2335,26,17.5324,5.8218,23.3541,85,1663.3959,3440.5409,281.1666,0,0.9736,280.193,3720.7338,2057.3379,1.23683,351,take_profit_120_before_12m,"RSI(14) 31.5336 < 35; VIX 26 >= 23.3541; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2016-02-05,2017-01-25,sigma1_weekly_1lot,1,,,,1,91.1461,117.8129,34.038,0.2329,23.38,17.5258,5.8192,23.345,86,1703.7718,3458.4534,302.739,0,1.804,300.9351,3759.3885,2055.6167,1.206509,355,take_profit_120_before_12m,"RSI(14) 34.038 < 35; VIX 23.38 >= 23.345; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
