date,strategyNormalized,nasdaqCompositeNormalized,sp500Normalized
2016-03-01,1,1,1
2016-03-02,1.000541,1.00294691,1.00409431
2016-03-03,0.99406905,1.00379986,1.00760737
2016-03-04,0.99469931,1.00584696,1.01093842
2016-03-07,0.97360677,1.00397686,1.01183311
2016-03-08,0.94817037,0.9913041,1.00046
2016-03-09,0.965429,0.99675447,1.00551471
2016-03-10,0.96008722,0.99414877,1.00567138
2016-03-11,1.01464909,1.01255333,1.02215986
2016-03-14,1.01832653,1.0129392,1.02087095
2016-03-15,1.01577684,1.00833116,1.01899567
2016-03-16,1.0440991,1.01585852,1.0247024
2016-03-17,1.04128753,1.0182084,1.03146056
2016-03-18,1.045839,1.02261383,1.0360048
2016-03-21,1.05686811,1.02543288,1.03702587
2016-03-22,1.06642924,1.0281602,1.03611599
2016-03-23,1.03911605,1.01690118,1.02949932
2016-03-24,1.03680248,1.01789063,1.0291101
2016-03-28,1.03008668,1.01645981,1.02967123
2016-03-29,1.08324276,1.0334826,1.03874948
2016-03-30,1.09860873,1.03831669,1.04326837
2016-03-31,1.09256363,1.03843611,1.04114035
2016-04-01,1.12859846,1.0479657,1.04773172
2016-04-04,1.11392857,1.04311662,1.04437026
2016-04-05,1.08062223,1.03290901,1.03377566
2016-04-06,1.13714172,1.04928354,1.04463818
2016-04-07,1.08771311,1.03385577,1.03212781
2016-04-08,1.08452709,1.03435044,1.03500392
2016-04-11,1.07057361,1.03066355,1.03216823
2016-04-12,1.09847581,1.03891371,1.04214118
2016-04-13,1.14249583,1.05497693,1.05260442
2016-04-14,1.14210594,1.05465072,1.05278644
2016-04-15,1.13276753,1.05301521,1.0517502
2016-04-18,1.14875393,1.05766375,1.05862972
2016-04-19,1.12592378,1.05346511,1.06189505
2016-04-20,1.12814903,1.05512832,1.06270373
2016-04-21,1.12779692,1.05465072,1.05718402
2016-04-22,1.0761328,1.04619368,1.05723462
2016-04-25,1.07365626,1.04396749,1.05531886
2016-04-26,1.05684709,1.04236602,1.05729521
2016-04-27,1.02998157,1.0370053,1.05903906
2016-04-28,0.99073591,1.02466947,1.04926332
2016-04-29,0.97240938,1.01828722,1.0439508
2016-05-02,1.00027207,1.02729225,1.052104
2016-05-03,0.97051617,1.01569859,1.04297528
2016-05-04,0.94873947,1.0076851,1.03678325
2016-05-05,0.94707581,1.00586185,1.03653545
2016-05-06,0.96304113,1.00992836,1.03982608
2016-05-09,0.96960378,1.01292431,1.04060958
2016-05-10,1.01351237,1.0256482,1.05360018
2016-05-11,0.98398728,1.01515904,1.04352616
2016-05-12,0.96946238,1.01017784,1.04334932
2016-05-13,0.95634784,1.00598773,1.03450351
2016-05-16,0.99494476,1.01830857,1.04463818
2016-05-17,0.95498187,1.00557188,1.03480678
2016-05-18,0.96577901,1.01055954,1.0350191
2016-05-19,0.94903106,1.00488948,1.03118258
2016-05-20,0.98349124,1.01705049,1.03738979
2016-05-23,0.97763401,1.01624439,1.03522636
2016-05-24,1.04303794,1.03656174,1.04938969
2016-05-25,1.06568894,1.0437756,1.05670891
2016-05-26,1.07512495,1.04524265,1.05648653
2016-05-27,1.09239077,1.05200868,1.06101554
2016-05-31,1.096771,1.05511125,1.05994894
2016-06-01,1.09648999,1.05600689,1.06115202
2016-06-02,1.1031804,1.06008183,1.06414944
2016-06-03,1.08608172,1.05393209,1.06105083
2016-06-06,1.09706044,1.05951677,1.06624709
2016-06-07,1.08724264,1.05803265,1.06762196
2016-06-08,1.09267912,1.06078131,1.07115533
2016-06-09,1.08566051,1.05736524,1.06931534
2016-06-10,1.04658714,1.04370302,1.05950418
2016-06-13,1.01683665,1.03387066,1.0509061
2016-06-14,1.01616448,1.0328279,1.04901564
2016-06-15,1.00601006,1.03098987,1.0470847
2016-06-16,1.01526396,1.03312006,1.05036521
2016-06-17,0.97579253,1.0236139,1.04694316
2016-06-20,0.99457137,1.031476,1.053024
2016-06-21,1.00422701,1.03287267,1.05587986
2016-06-22,0.99571433,1.03064648,1.05413601
2016-06-23,1.04322858,1.04700613,1.06822357
2016-06-24,0.91514333,1.00391929,1.02985319
2016-06-27,0.85547528,0.97970826,1.01121645
2016-06-28,0.92465545,1.00048405,1.02918593
2016-06-29,0.98533127,1.01911675,1.04671572
2016-06-30,1.02564533,1.03264027,1.06091447
2016-07-01,1.04316857,1.03688368,1.06298177
2016-07-05,1.01880709,1.02842456,1.05570302
2016-07-06,1.04786869,1.03615661,1.06135416
2016-07-07,1.05656089,1.03992024,1.06042911
2016-07-08,1.11428354,1.05696854,1.0766042
2016-07-11,1.13329049,1.06376664,1.08027393
2016-07-12,1.15090665,1.07105504,1.08784589
