date,equity,openValue,availableCash,openContracts,qqqAdjClose,qqqRsi,qqqIv,vixClose,vixMean,vixStd,vixThreshold
2012-01-03,20000,0,20000,0,50.312565,56.593482,0.285384,22.969999,24.197707,8.12406,
2012-01-04,20000,0,20000,0,50.524769,57.817085,0.285423,22.219999,24.189921,8.108938,
2012-01-05,20000,0,20000,0,50.940365,60.184324,0.285412,21.48,24.179294,8.094739,
2012-01-06,20000,0,20000,0,51.117226,61.182658,0.285416,20.629999,24.16543,8.081897,
2012-01-09,20000,0,20000,0,50.949211,59.652451,0.285443,21.07,24.153385,8.068407,
2012-01-10,20000,0,20000,0,51.320572,61.919488,0.285538,20.690001,24.139961,8.055581,
2012-01-11,20000,0,20000,0,51.426689,62.56674,0.285543,21.049999,24.128031,8.042246,
2012-01-12,20000,0,20000,0,51.630058,63.835381,0.285458,20.469999,24.113961,8.029911,
2012-01-13,20000,0,20000,0,51.44437,61.7767,0.285493,20.91,24.101686,8.016907,
2012-01-17,20000,0,20000,0,51.913017,64.857131,0.285562,22.200001,24.094427,8.002397,
2012-01-18,20000,0,20000,0,52.602711,68.837397,0.285973,20.889999,24.082243,7.989554,
2012-01-19,20000,0,20000,0,52.929886,70.541865,0.285719,19.870001,24.066288,7.978563,
2012-01-20,20000,0,20000,0,52.850288,69.545253,0.285589,18.280001,24.044453,7.971367,
2012-01-23,20000,0,20000,0,52.867989,69.647943,0.285428,18.67,24.024248,7.963134,
2012-01-24,20000,0,20000,0,52.770718,68.285266,0.284981,18.91,24.005094,7.954311,
2012-01-25,20000,0,20000,0,53.433899,72.268949,0.285355,18.309999,23.983843,7.94702,
2012-01-26,20000,0,20000,0,53.248196,69.631398,0.285328,18.57,23.963717,7.939044,
2012-01-27,20000,0,20000,0,53.407364,70.621104,0.285259,18.530001,23.943593,7.931171,
2012-01-30,20000,0,20000,0,53.451576,70.904749,0.283542,19.4,23.926827,7.92128,
2012-01-31,20000,0,20000,0,53.522297,71.380726,0.283494,19.440001,23.910331,7.91133,
2012-02-01,20000,0,20000,0,53.955582,74.16889,0.282796,18.549999,23.890696,7.903435,
2012-02-02,20000,0,20000,0,54.123581,75.178619,0.282807,17.98,23.869124,7.897024,
2012-02-03,20000,0,20000,0,54.866329,79.073369,0.283253,17.1,23.844509,7.893162,
2012-02-06,20000,0,20000,0,54.82214,78.286321,0.283186,17.76,23.822464,7.887306,
2012-02-07,20000,0,20000,0,54.937057,78.875188,0.283145,17.65,23.80018,7.881734,
2012-02-08,20000,0,20000,0,55.228874,80.333712,0.283109,18.16,23.779892,7.874764,
2012-02-09,20000,0,20000,0,55.62677,82.144005,0.283217,18.629999,23.761434,7.866632,
2012-02-10,20000,0,20000,0,55.237713,74.885413,0.283352,20.790001,23.750821,7.854529,
