entryDate,exitDate,regime,vixStdMultiplier,quantity,entryUnderlying,exitUnderlying,entryRsi,entryIv,entryVix,entryVixMean,entryVixStd,exitIv,strike,entryCost,exitValue,pnl,pnlPct,ageDays,reason,win
2014-10-13,2015-04-24,sigma1_weekly_1lot,1,1,85.17,101.8879,31.4465,0.1575,24.64,17.706,6.2173,0.159,82,1184.9817,2412.1007,1227.1189,1.035559,193,take_profit_100_before_12m,true
2015-08-21,2016-08-22,sigma1_weekly_1lot,1,1,94.6021,109.6239,24.7409,0.1809,28.03,17.2398,5.8253,0.2331,91,1429.4685,2346.3254,916.8569,0.641397,367,take_profit_50_12_to_15m,true
2015-08-24,2016-08-23,sigma2_daily_2lot,2,2,90.9622,109.8201,19.5555,0.187,40.74,17.2599,5.8633,0.2281,87,2859.957,5347.9501,2487.9931,0.869941,365,take_profit_75_12_to_15m,true
2015-08-25,2016-08-24,sigma2_daily_2lot,2,2,90.6203,109.1101,19.1496,0.187,36.02,17.276,5.8864,0.2282,87,2812.2589,5221.2987,2409.0399,0.856621,365,take_profit_75_12_to_15m,true
2015-09-28,2016-09-27,sigma1_weekly_1lot,1,1,92.6004,110.9755,34.7682,0.2106,27.63,17.4221,5.9351,0.2086,88,1594.822,2658.5266,1063.7046,0.666974,365,take_profit_50_12_to_15m,true
2016-01-07,2017-01-09,sigma1_weekly_1lot,1,1,97.4164,114.9012,29.8934,0.218,24.99,17.428,5.806,0.1889,92,1745.2798,2639.0212,893.7415,0.512091,368,take_profit_50_12_to_15m,true
2016-01-11,2017-01-10,sigma1_weekly_1lot,1,1,96.9147,115.1548,29.8029,0.2169,24.3,17.441,5.8109,0.1889,92,1705.0412,2665.6901,960.6489,0.563417,365,take_profit_50_12_to_15m,true
2016-02-08,2017-01-11,sigma1_weekly_1lot,1,1,89.7527,115.4647,31.5336,0.2335,26,17.5324,5.8218,0.1885,85,1663.3977,3347.726,1684.3283,1.012583,338,take_profit_100_before_12m,true
2016-01-19,2017-01-18,sigma1_weekly_1lot,1,1,93.8772,115.568,31.4975,0.2247,26.05,17.4706,5.8193,0.1778,89,1693.8071,2957.1986,1263.3915,0.745889,365,take_profit_50_12_to_15m,true
2016-02-05,2017-01-25,sigma1_weekly_1lot,1,1,91.1461,117.8129,34.038,0.2329,23.38,17.5258,5.8192,0.1738,86,1703.7741,3458.452,1754.6778,1.029877,355,take_profit_100_before_12m,true
2016-06-27,2017-03-01,sigma1_weekly_1lot,1,1,95.49,123.458,29.8467,0.2454,23.85,17.4713,5.6926,0.15,90,1849.4159,3708.5928,1859.1769,1.005278,247,take_profit_100_before_12m,true
2018-02-08,2019-02-25,sigma2_daily_2lot,2,2,145.445,165.8578,32.632,0.1535,33.46,16.2594,5.6461,0.2714,141,3876.5191,6862.5098,2985.9906,0.770276,382,take_profit_75_12_to_15m,true
2018-02-05,2019-03-15,sigma2_daily_2lot,2,2,149.8714,170.4745,34.9852,0.15,37.32,16.2357,5.6202,0.2686,146,3859.9993,6764.9891,2904.9898,0.752588,403,take_profit_75_12_to_15m,true
2018-03-23,2019-03-25,sigma1_weekly_1lot,1,1,150.4849,170.6602,33.0979,0.173,24.87,16.3105,5.6293,0.2676,145,2200.8018,3557.4496,1356.6478,0.616433,367,take_profit_50_12_to_15m,true
2018-10-24,2019-10-24,sigma1_weekly_1lot,1,1,157.5881,186.6436,29.6174,0.2236,25.23,16.1962,5.4981,0.2611,149,2857.4001,4575.1594,1717.7593,0.601162,365,take_profit_50_12_to_15m,true
2018-10-10,2019-10-28,sigma1_weekly_1lot,1,1,163.6785,189.9901,24.7448,0.2082,22.96,16.1726,5.4993,0.2521,156,2775.202,4240.3428,1465.1409,0.52794,383,take_profit_50_12_to_15m,true
2018-10-29,2019-10-29,sigma1_weekly_1lot,1,1,155.577,188.5188,32.9513,0.2283,24.7,16.2086,5.5031,0.2502,147,2861.7429,4858.1554,1996.4124,0.697621,365,take_profit_50_12_to_15m,true
2018-12-19,2019-11-04,sigma1_weekly_1lot,1,1,147.2849,192.423,34.963,0.2599,25.58,16.2834,5.492,0.2466,138,3000.6957,6051.3372,3050.6414,1.016645,320,take_profit_100_before_12m,true
2018-11-20,2019-11-20,sigma1_weekly_1lot,1,1,151.6978,194.3944,34.4671,0.2434,22.48,16.2372,5.4926,0.2346,143,2921.6785,5691.3012,2769.6227,0.947956,365,take_profit_50_12_to_15m,true
2018-12-21,2019-12-16,sigma2_daily_2lot,2,2,140.6512,201.2412,28.5585,0.2631,30.11,16.2963,5.5045,0.2181,132,5752.6005,14689.1278,8936.5273,1.553476,360,take_profit_150_before_12m,true
2018-12-20,2019-12-20,sigma2_daily_2lot,2,2,145.1499,203.5876,32.7186,0.2604,28.38,16.2894,5.4972,0.213,136,5921.3404,14374.5196,8453.1793,1.427579,365,take_profit_75_12_to_15m,true
2019-08-05,2020-02-12,sigma1_weekly_1lot,1,1,173.4464,225.7705,29.7995,0.2586,24.59,16.2753,5.3945,0.1821,163,3497.4893,7063.6929,3566.2035,1.019647,191,take_profit_100_before_12m,true
2020-03-12,2020-06-08,sigma2_daily_2lot,2,2,170.8867,233.2825,29.0172,0.2788,75.47,16.349,5.6899,0.3928,159,7397.951,18643.0107,11245.0597,1.520024,88,take_profit_150_before_12m,true
2020-03-16,2020-06-09,sigma2_daily_2lot,2,2,163.1576,234.9726,31.8202,0.3327,82.69,16.3956,5.9153,0.3926,151,8007.9195,20071.669,12063.7494,1.506477,85,take_profit_150_before_12m,true
2020-03-09,2020-07-01,sigma2_daily_2lot,2,2,186.5471,242.3372,31.0925,0.241,54.46,16.2937,5.4658,0.4003,176,7124.8542,17877.1959,10752.3417,1.509131,114,take_profit_150_before_12m,true
2020-02-28,2020-07-06,sigma2_daily_2lot,2,2,198.3334,249.9801,27.301,0.2035,40.11,16.2328,5.327,0.4013,189,6636.5649,17407.8536,10771.2887,1.623022,129,take_profit_150_before_12m,true
2020-02-27,2020-07-06,sigma2_daily_2lot,2,2,198.1792,249.9801,27.0081,0.2036,39.16,16.2224,5.3049,0.4013,189,6615.6768,17400.2196,10784.5428,1.63015,130,take_profit_150_before_12m,true
2020-02-25,2020-07-09,sigma2_daily_2lot,2,2,207.5562,253.6467,34.0522,0.1936,27.85,16.2075,5.2803,0.4014,198,6718.6702,16862.7907,10144.1205,1.509841,135,take_profit_150_before_12m,true
2021-03-04,2022-09-06,sigma1_weekly_1lot,1,1,294.7355,286.2963,34.3274,0.4242,28.57,17.6439,7.4771,0.3437,274,8503.3672,3556.3282,-4947.0391,-0.581774,551,force_exit_180d_to_expiry,false
2021-03-08,2022-09-09,sigma1_weekly_1lot,1,1,290.7036,300.0127,34.0021,0.4237,25.47,17.6497,7.4771,0.3457,270,8391.1234,4758.6761,-3632.4473,-0.432892,550,force_exit_180d_to_expiry,false
2021-05-12,2022-11-14,sigma1_weekly_1lot,1,1,307.5196,279.3627,34.0253,0.2821,27.59,17.6745,7.4189,0.3828,287,6660.5988,2826.6201,-3833.9787,-0.575621,551,force_exit_180d_to_expiry,false
2022-05-11,2023-05-26,sigma1_weekly_1lot,1,1,284.5671,342.3278,32.4322,0.2832,32.56,17.9776,7.3105,0.3276,265,6208.9103,9453.5274,3244.6172,0.522574,380,take_profit_50_12_to_15m,true
2022-06-13,2023-06-13,sigma2_daily_2lot,2,2,268.5466,356.9288,33.1342,0.3104,34.02,18.0506,7.3333,0.3176,249,12547.6237,24034.4064,11486.7827,0.915455,365,take_profit_75_12_to_15m,true
2022-03-08,2023-06-13,sigma2_daily_2lot,2,2,314.9026,356.9288,34.1634,0.2358,35.13,17.8534,7.2755,0.3176,297,11875.8832,15539.081,3663.1978,0.308457,462,take_profit_30_16_to_18m,true
2022-06-14,2023-06-14,sigma1_weekly_1lot,1,1,269.0341,359.5228,33.5278,0.3104,32.69,18.0556,7.3371,0.3122,250,6256.8274,12143.5124,5886.685,0.940842,365,take_profit_50_12_to_15m,true
2022-03-07,2023-06-15,sigma2_daily_2lot,2,2,316.3731,363.8068,34.8133,0.2402,36.45,17.8473,7.2695,0.3125,298,12110.584,16405.7319,4295.1478,0.354661,465,take_profit_30_16_to_18m,true
2022-06-16,2023-06-16,sigma2_daily_2lot,2,2,264.6267,361.5174,33.9971,0.3152,32.95,18.0648,7.343,0.3113,246,12424.6768,25325.5193,12900.8424,1.038324,365,take_profit_75_12_to_15m,true
2022-05-09,2023-07-13,sigma2_daily_2lot,2,2,289.7448,373.0529,33.1418,0.2822,34.75,17.9672,7.3025,0.3002,270,12598.4232,22731.6669,10133.2437,0.804326,430,take_profit_75_12_to_15m,true
2022-04-27,2023-07-13,sigma1_weekly_1lot,1,1,308.8661,373.0529,33.6247,0.2612,31.6,17.9311,7.2795,0.3002,289,6333.7997,9736.1328,3402.3331,0.537171,442,take_profit_50_12_to_15m,true
2022-02-23,2023-07-13,sigma1_weekly_1lot,1,1,320.814,373.0529,32.2348,0.243,31.02,17.8087,7.2426,0.3002,302,6194.8166,8339.3903,2144.5737,0.346188,505,take_profit_30_16_to_18m,true
2022-01-20,2023-07-24,sigma1_weekly_1lot,1,1,352.2702,370.1798,31.0491,0.2222,25.59,17.7381,7.2238,0.298,333,6365.7525,5479.7959,-885.9566,-0.139175,550,force_exit_180d_to_expiry,false
2022-04-26,2023-07-27,sigma2_daily_2lot,2,2,309.2367,370.5636,33.7858,0.2612,33.52,17.9263,7.2763,0.2961,290,12614.4599,18660.0103,6045.5504,0.479256,457,take_profit_30_16_to_18m,true
2022-01-24,2023-07-28,sigma1_weekly_1lot,1,1,344.0702,377.3132,28.3739,0.2246,29.9,17.7464,7.2279,0.2928,325,6272.6004,6567.5751,294.9747,0.047026,550,force_exit_180d_to_expiry,true
2022-09-06,2023-09-06,sigma1_weekly_1lot,1,1,286.2963,368.7137,33.4322,0.3437,26.91,18.184,7.3363,0.2842,265,7178.356,11577.3478,4398.9918,0.612813,365,take_profit_50_12_to_15m,true
2022-09-21,2023-09-21,sigma1_weekly_1lot,1,1,277.5228,352.6149,34.8195,0.3527,27.99,18.2118,7.3372,0.2752,257,7075.3956,10723.4266,3648.031,0.515594,365,take_profit_50_12_to_15m,true
2024-08-06,2024-12-16,sigma1_weekly_1lot,1,1,435.4464,533.9191,33.4584,0.2038,27.71,18.0948,7.0566,0.2103,414,7344.2719,14773.0703,7428.7984,1.011509,132,take_profit_100_before_12m,true
